0 ['kaufen', 'geschäft', 'verkaufen', 'trinken', 'geld', 'laden', 'rauchen', 'kaffee', 'bier', 'flasche', 'zigarett', 'krieg', 'einkaufen', 'markt', 'schön', 'schnaps', 'wein', 'kennen', 'glas', 'lachen', 'lebensmittel', 'teuer', 'paket', 'pfennig', 'kunde', 'zigarette', 'tabak', 'bezahlen', 'konsum', 'schokolade', 'marke', 'kosten', 'schicken', 'ware', 'auto', 'tauschen', 'zeit', 'verkäuferin', 'billig', 'schwarzmarkt', 'essen', 'tasse', 'stadt', 'bestellen', 'straße', 'schenken', 'weihnachten', 'pfund', 'erinnern', 'abends', 'nennen', 'abgeben', 'ecke', 'mitbringen', 'kneipe', 'butter', 'zucker', 'schwarz', 'alkohol', 'tasche', 'normal', 'friseur', 'tisch', 'aufmachen', 'richtig', 'besorgen', 'anbieten', 'firma', 'handel', 'verdienen', 'feiern', 'bruder', 'lokal', 'päckchen', 'preis', 'eier', 'kiste', 'herr', 'zigaretten', 'verkauf', 'währungsreform', 'straßenbahn', 'gaststätte', 'wohnen', 'liefern', 'mussen', 'einladen', 'wert', 'cola', 'gerne', 'händler', 'keller', 'bedienen', 'mensch', 'kuchen', 'schachtel', 'papier', 'holland', 'tafel', 'organisieren']

11 ['kind', 'eltern', 'kindergarten', 'schule', 'schön', 'zeit', 'familie', 'gruppe', 'lernen', 'krippe', 'kindheit', 'tag', 'gerne', 'mutti', 'erinnern', 'erziehung', 'einrichtung', 'wende', 'arbeit', 'mutter', 'erziehen', 'erzieher', 'dresden', 'mütter', 'erzieherin', 'ddr', 'ausbildung', 'ddrzeit', 'tochter', 'schaffen', 'woche', 'erleben', 'pionier', '', 'lehrer', 'sohn', 'merken', 'betreuen', 'zuhause', 'gehören', 'leiterin', 'normal', 'puppe', 'klasse', 'hort', 'spaß', 'gebären', 'kümmern', 'oma', 'beruf', 'stunde', 'richtig', 'schlimm', 'erwachsen', 'erinnerung', 'freiheit', 'prägen', 'basteln', 'abholen', 'weihnachten', 'bauen', 'kindergarte', 'dorf', 'anfang', 'mitmachen', 'spielzeug', 'fühlen', 'alter', 'schlecht', 'kennen', 'glück', 'empfinden', 'streng', 'kindergärt', 'kindergärtnerin', 'wochenende', 'mama', 'säugling', 'kinderkrippe', 'super', 'ferienlager', 'lieben', 'funktionieren', 'westen', 'wünschen', 'glücklich', 'fallen', 'vorbereiten', 'bestimmen', 'tisch', 'nachmittag', 'helfen', 'beschäftigen', 'garten', 'vati', 'alltag', 'gestalten', 'malen', 'sorgen', 'baby']

12 ['jude', 'jüdisch', '', 'israel', 'erinnern', 'ungarn', 'ungarisch', 'hebräisch', 'stadt', 'kibbuz', 'familie', 'synagoge', 'zeit', 'lernen', 'religiös', 'gemeinde', 'nennen', 'ort', 'krieg', 'budapest', 'gruppe', 'gehören', 'freund', 'bruder', 'jerusalem', 'tag', 'kind', 'land', 'kennen', 'spät', 'araber', 'rumänien', 'rumänisch', 'tel', 'straße', 'rabbiner', 'palästina', 'geschichte', 'jiddisch', 'aviv', 'mensch', 'problem', 'schicken', 'armee', 'bukarest', 'haifa', 'verlassen', 'synagog', 'staat', 'befinden', 'treffen', 'orthodox', 'wussen', 'holocaust', 'polen', 'feiertag', 'vater', 'arabisch', 'besuchen', 'militär', 'helfen', 'haus', 'schauen', 'verschieden', 'deutschland', 'deutsch', 'zurückkehren', 'rabbi', 'bewegung', 'antisemitismus', 'zionistisch', 'wussten', 'wohnen', 'art', 'deutsche', 'organisation', 'interessant', 'universität', 'sprache', 'schabbat', 'hören', 'zwangsarbeit', 'organisieren', 'soldat', 'wien', 'fest', 'beten', 'zweiter', 'bitten', 'leisten', 'brüder', 'mitglied', 'jüdin', 'viertel', 'schwer', 'kippur', 'pessach', 'einwanderung', 'gründen', 'grenze']

13 ['kind', 'heiraten', 'tochter', 'sohn', 'mutter', 'schwester', 'familie', 'wohnen', 'mädchen', 'eltern', 'schön', 'kennen', 'verheiraten', 'sterben', 'gebären', 'bruder', 'kontakt', 'freundin', 'haus', 'spät', 'vater', 'freund', 'treffen', 'zeit', 'besuchen', 'zweiter', 'wohnung', 'tante', 'schwiegermutter', 'tag', 'lernen', 'hochzeit', 'gerne', 'richtig', 'nett', 'geburtstag', 'krieg', 'schwer', 'liebe', 'schwägerin', 'helfen', 'besuch', 'wussen', 'schwiegervater', 'söhne', 'scheiden', 'töchter', 'fallen', 'schwanger', 'enkel', 'schwager', 'lieben', 'urlaub', 'zuhause', 'mutti', 'woche', 'cousine', 'gott', 'krank', 'schicken', 'trennen', 'verloben', 'geld', 'tot', 'feiern', 'warten', 'verhältnis', 'lieb', 'welt', 'beziehung', 'gewohnen', 'glücklich', 'studieren', 'schwiegersohn', 'wunderbar', 'hören', 'letzter', 'onkel', 'einladen', 'freundschaft', 'freuen', 'verlieren', 'verlieben', '50', 'fest', 'kümmern', 'schlecht', 'schwiegertochter', 'verbindung', 'befreundet', 'tant', 'gemeinsam', 'heirat', 'krankenhaus', 'aufnehmen', 'reden', 'alter', 'geburt', 'weinen', 'jungs']

14 ['russe', 'amerikaner', 'soldat', 'krieg', 'deutsch', 'russisch', '45', 'gefangenschaft', 'amerikanisch', 'offizier', 'engländer', 'franzose', 'lager', 'zeit', 'tag', '46', 'armee', 'sowjetisch', 'ami', 'englisch', 'russland', 'spät', 'erleben', 'gehören', 'wussten', 'angst', '1945', 'flüchtling', 'französisch', 'kriegsend', 'erschießen', 'essen', 'berlin', 'polen', 'passieren', 'schlimm', 'deutsche', 'kriegsgefangen', 'besetzen', 'gefangener', 'truppe', 'ort', 'bauer', 'entlassen', 'deutschland', 'zone', 'straße', 'letzter', '47', 'nazi', 'panzer', 'glück', 'lachen', 'dorf', 'rot', 'anfang', 'hören', 'westen', 'kriegsgefangenschaft', 'uniform', '48', 'frankreich', 'besatzung', 'kontakt', 'bevölkerung', 'wussen', 'osten', 'kommandantur', 'front', 'gefangen', 'waffe', '44', 'rüber', 'haus', 'gebiet', 'kaputt', 'geschichte', 'furchtbar', 'schwarz', 'rostock', 'vergewaltigen', 'erfahren', 'behandeln', 'engländern', 'versuchen', 'hitler', 'schießen', 'bremen', 'mitkriegen', 'mussen', 'zurückgekommen', 'sowjetunion', 'bürgermeister', 'pole', 'einsetzen', 'melden', 'britisch', 'land', 'richtig', 'kennen']

15 ['zug', 'tag', 'bahnhof', 'auto', 'wagen', 'unterwegs', 'kilometer', 'bus', 'ankommen', 'woche', 'berlin', 'richtung', 'straße', 'fuß', 'warten', 'grenze', 'fahrrad', 'stadt', 'essen', 'fahrt', 'waggon', 'stunde', 'koffer', 'bahn', 'spät', 'abholen', 'schön', 'ort', 'frankfurt', 'brücke', 'mussen', 'straßenbahn', 'nachts', 'wussen', 'packen', 'nähe', 'wussten', 'lkw', 'übernachten', 'abends', 'abend', 'station', 'rüber', 'strecke', 'treffen', 'prag', 'reise', 'gepäck', 'hotel', 'wohnen', 'dresden', 'papier', 'fahrer', 'dauern', 'zeit', 'platz', 'einsteigen', 'schwester', 'letzter', 'hannover', 'freundin', 'offen', 'haus', 'berg', 'gegend', 'schlafen', 'urlaub', 'polizei', 'leipzig', 'hingefahren', 'mutter', 'wald', 'glück', 'transport', 'unterbringen', 'rot', 'aussteigen', 'eisenbahn', 'autobahn', 'kontrollieren', 'rucksack', 'anhalten', 'morgens', 'ausgestiegen', 'dorf', 'flüchtling', 'lastwagen', 'landen', 'tür', 'versuchen', 'adresse', 'passieren', 'familie', 'melden', 'fahrzeug', 'fahrkarte', 'hinfahren', 'fahrn', 'bad', 'umsteigen']
