0 ['ddr', 'berlin', 'westen', 'wende', 'osten', 'mauer', 'eltern', 'westberlin', 'prinzip', 'relativ', 'lachen', 'erinnern', 'spannend', 'zeit', 'grenze', 'kind', 'passieren', 'ostberlin', 'erleben', 'interessant', 'merken', '89', 'freund', 'mitbekommen', 'familie', 'super', 'stadt', 'kennen', 'rüber', 'dresden', 'west', 'berliner', 'kontakt', 'stasi', 'politisch', 'richtung', 'spät', 'westdeutschland', 'gefühl', 'drüben', 'richtig', 'leipzig', 'system', 'land', 'wiedervereinigung', 'normal', 'besuchen', 'angucken', 'wahnsinnig', 'echt', 'straße', 'mitkriegen', 'reisen', 'ahnung', 'auto', 'bild', 'unterschied', 'fühlen', 'deutschland', 'welt', 'komisch', 'ost', 'überlegen', 'wussen', 'schule', 'westdeutsch', '90', 'aufarbeitung', 'mittlerweile', 'verändern', 'wahrnehmen', 'aufwachsen', 'bewusst', 'ddrzeit', 'mauerfall', 'fernsehen', 'schön', 'besuch', 'lustig', 'offen', 'wohnen', 'fallen', 'geschichte', 'wendezeit', 'ehemalig', 'bundesland', 'westberliner', 'kreuzberg', 'job', 'ungarn', 'unterhalten', 'bundesrepublik', 'damalig', 'verwandtschaft', 'empfinden', 'zuhause', '1990', 'jugendlich', 'irgendwelcher', 'konstanz']
12 ['jude', 'jüdisch', 'ghetto', 'erinnern', 'deutsche', 'wussten', 'tag', 'stadt', 'deutsch', 'krieg', 'mensch', 'familie', 'wussen', 'zeit', 'spät', 'verstecken', 'überleben', 'polen', 'straße', 'hören', 'arbeit', 'gehören', 'erschießen', 'haus', 'erfahren', 'freund', 'passieren', 'weiss', 'abholen', 'umbringen', 'vater', 'polnisch', 'geschehen', 'ort', 'retten', 'fliehen', 'geschäft', 'jüdin', 'schicken', 'gestapo', 'kind', 'versuchen', 'schrecklich', 'auschwitz', 'ermorden', 'angst', 'warschau', 'lodz', 'deportieren', 'flüchten', 'treffen', 'verlassen', 'gruppe', 'grodno', 'getto', 'kennen', 'stern', 'töten', '42', 'synagoge', 'kristallnacht', 'eltern', 'israel', 'schwer', '1942', 'wohnen', 'bevölkerung', 'deportation', '39', 'nennen', 'schließen', 'zurückkommen', 'untergrund', 'antisemitismus', 'verschieden', 'bruder', 'konzentrationslager', 'polizei', 'nachbar', 'reich', 'menge', 'aufstand', 'judenrat', 'lager', 'judenstern', '41', 'gemeinde', '1939', 'gerücht', 'art', 'platz', 'sorgen', 'verhaften', 'organisieren', 'vernichten', 'passiern', 'verbieten', 'versammeln', 'nachricht', 'nazi']

13 ['colonia', 'chile', 'kolonie', 'schäfer', 'deutsch', 'deutschland', 'chilenisch', 'dignidad', 'botschaft', 'opfer', 'hopp', 'diktatur', 'colono', 'sekt', 'santiago', 'gruppe', 'paul', 'hugo', 'müller', 'dina', 'staat', 'gronau', 'siegburg', 'missbrauch', 'amnesty', 'flüchten', 'foltern', 'gefangener', 'baar', 'pinochet', 'wolfgang', 'auswärtig', 'amt', 'täter', 'reden', 'passieren', 'identität', 'hartmut', 'waffe', 'gemeinschaft', 'kind', 'aussagen', 'aussage', 'wussen', 'gericht', 'verfahren', 'kontakt', 'flucht', 'mord', 'putsch', 'militär', 'politisch', 'system', 'folter', 'international', 'justiz', 'zeuge', 'manuel', 'wussten', 'sogenannter', 'botschafter', 'villa', 'spät', 'krefeld', 'ort', 'normal', 'juristisch', 'regierung', 'leiche', 'geheimdienst', 'behörde', 'einladen', 'frank', 'verbrechen', 'spanisch', 'prozess', 'mujica', 'überzeugen', 'aktie', 'baviera', 'intern', 'parral', 'richter', 'bonn', 'psychiater', 'kuhn', 'umbringen', 'stern', 'organisieren', 'löffel', 'zweiter', 'missbrauchen', 'mission', 'nennen', 'bericht', 'doktor', 'süden', 'geschichte', 'anzeige', 'chilen']

14 ['mutter', 'lachen', 'kind', 'haushalt', 'mädchen', 'zeit', 'schön', 'putzen', 'kochen', 'helfen', 'wäsche', 'schule', 'waschen', 'geschäft', 'essen', 'garten', 'abends', 'lernen', 'arbeit', 'gerne', 'haus', 'krieg', 'zuhause', 'morgens', 'sonntags', 'leise', 'schwester', 'waschmaschine', 'mussen', 'richtig', 'kennen', 'einkaufen', 'geld', 'küche', 'laden', 'spülen', 'tochter', 'sauber', 'hausarbeit', 'woche', 'mittags', 'nähen', 'hand', 'tag', 'pflichtjahr', 'wohnen', 'heiraten', 'eltern', 'schwer', 'verdienen', 'samstags', 'buer', 'krank', 'fenster', 'familie', 'duisburg', 'schwiegermutter', 'personal', 'hausfrau', 'tisch', 'freizeit', 'berufstätig', 'bügeln', 'kunde', 'froh', 'spazieren', 'mitmachen', 'mithelfen', 'lehre', 'wischen', 'ecke', 'nachmittags', 'friseur', 'oma', 'straße', 'herd', 'wohnung', 'büro', 'köchin', 'bestimmen', 'stricken', 'jungens', 'landjahr', 'anfang', 'weihnachten', 'hingehen', 'gelsenkirchen', 'vogel', 'mitgeholfen', 'verkäuferin', 'hilfe', 'beruf', 'gegessen', 'kaffee', 'vater', 'schlimm', 'ausgebombt', 'zwischendurch', 'nett', 'staub']

15 ['schiff', 'urlaub', 'schön', 'reise', 'tag', 'hotel', 'boot', 'woche', 'meer', 'ostsee', 'hafen', 'insel', 'fahrt', 'wasser', 'dänemark', 'italien', 'zeit', 'land', 'berg', 'sommer', 'reisen', 'richtig', 'bord', 'feri', 'österreich', 'ausland', 'königsberg', 'wunderschön', 'schweiz', 'fliegen', 'norwegen', 'strand', 'schwimmen', 'zelt', 'küste', 'winter', 'bauen', 'unterwegs', 'schweden', 'ort', 'letzter', 'münchen', 'auto', 'kapitän', 'dänisch', 'kiel', 'dampfer', 'jugoslawien', 'gegend', 'brücke', 'freude', 'zug', 'buchen', 'rüber', 'pension', 'baden', 'fluss', 'bad', 'nordsee', 'herbst', 'gerne', 'danzig', 'ufer', 'mitgefahren', 'verrückt', 'hinfahren', 'rügen', 'flugzeug', 'sturm', 'deck', 'mitfahren', 'hamburg', 'kraft', 'wetter', 'bus', 'gebirge', 'mallorca', 'nett', 'sonne', 'verbringen', 'venedig', 'rom', 'kopenhagen', 'wunderbar', 'erlebnis', 'fischer', 'kennen', 'interessant', 'zweimal', 'herrlich', 'kanal', 'mittelmeer', 'wien', 'jugendherberge', 'trier', 'werft', 'kilometer', 'finnland', 'kur', 'sauerland']

16 ['arzt', 'krankenhaus', 'krank', 'sterben', 'tag', 'schwer', 'woche', 'krankheit', 'bein', 'doktor', 'spät', 'operieren', 'helfen', 'behandeln', 'gesund', 'medikament', 'untersuchen', 'schlimm', 'operation', 'schlecht', 'bett', 'ärztin', 'zeit', 'krankenschwester', 'klinik', 'blut', 'patient', 'behandlung', 'professor', 'auge', 'fieber', 'schmerz', 'schwester', 'feststellen', 'pflegen', 'krebs', 'spritze', 'untersuchung', 'typhu', 'station', 'arm', 'medizinisch', 'herz', 'glück', 'zweiter', 'körper', 'weh', 'hand', 'rufen', 'letzter', 'ärztlich', 'lunge', 'kopf', 'zimmer', 'ärzten', 'tuberkulose', 'fallen', 'spritzen', 'abnehmen', 'ordnung', 'lazarett', 'schaffen', 'kur', 'wussen', 'zustand', 'kümmern', 'praxis', 'erholen', 'luft', 'normal', 'heilen', 'körperlich', 'erkranken', 'tablette', 'passieren', 'stunde', 'magen', 'hausarzt', 'überstehen', 'brechen', 'fühlen', 'gott', 'hilfe', 'verlieren', 'tod', 'warten', 'zähne', 'finger', 'leiden', 'lungenentzündung', 'knochen', 'medizin', 'merken', 'schwach', 'besuchen', 'herzinfarkt', 'chefarzt', 'zahnarzt', 'gesundheitlich', 'folge']

