0 ['gefängnis', 'zelle', 'verhaften', 'bautzen', 'verurteilen', 'tag', 'russe', 'entlassen', 'cottbus', 'einsperren', 'russisch', 'iphe', 'spät', 'offizier', 'verhören', 'gefangener', 'verhaftung', 'deutsch', 'politisch', 'waldheim', 'unterschreiben', 'werwolf', 'westen', 'haft', 'sowjetisch', 'stasi', 'ddr', 'intavp', 'keller', 'verhör', 'vernehmung', 'zuchthaus', 'wussen', 'entlassung', 'erfahren', 'lager', '25', 'ehemalig', 'zeit', 'woche', 'sogenannter', 'zellen', 'berlin', 'polizei', 'halle', 'drüben', 'westberlin', 'saal', 'protokoll', 'dolmetscherin']
82 ['', 'kibbuz', 'israel', 'tel', 'araber', 'gruppe', 'jerusalem', 'aviv', 'haifa', 'jüdisch', 'jude', 'land', 'arabisch', 'palästina', 'militär', 'deutschland', 'hebräisch', 'armee', 'bewegung', 'schicken', 'schiff', 'englisch', 'engländer', 'staat', 'einwanderung', 'geschichte', 'zypern', 'ort', 'gehören', 'spät', 'zionistisch', 'verlassen', 'tunesien', 'freund', 'lachend', 'kfar', 'kerngruppe', 'illegal', 'lernen', 'britisch', 'marokko', 'nennen', 'wussen', 'soldat', 'ägypten', 'kibbuzim', 'grenze', 'polizei', 'beit', 'gründen']

83 ['wald', 'baum', 'brechen', 'stocken', 'bandzerrung', 'natur', 'förster', 'fläche', 'pflanze', 'jäger', 'jagd', 'pflanzen', 'schön', 'mensch', 'gebiet', 'wachsen', 'bäume', 'tier', 'hektar', 'landschaft', 'naturschutz', 'vögel', 'bauer', 'kennen', 'meter', 'solingen', 'wälder', 'grün', 'moor', 'wild', 'wasser', 'schützen', 'forstamt', 'hecke', 'jagen', 'schießen', 'naturschutzgebiet', 'fünfzig', 'wunderschön', 'fällen', 'hase', 'wiese', 'eiche', 'stelle', 'zeigen', 'gehören', 'holz', 'pflegen', 'dicht', 'entstehen']

84 ['angst', 'richtig', 'passieren', 'schlagen', 'schlimm', 'mensch', 'wussen', 'hund', 'gott', 'tag', 'hand', 'gehören', 'hauen', 'wussten', 'kopf', 'hören', 'merken', 'kennen', 'ruhig', 'polizei', 'zeit', 'schwarz', 'straße', 'erwischen', 'kaputt', 'versuchen', 'zeigen', 'schlecht', 'tür', 'hart', 'ecke', 'arm', 'ruhe', 'rufen', 'freund', 'stimmen', 'abhauen', 'reden', 'dick', 'mund', 'fallen', 'klauen', 'kerl', 'böse', 'dumm', 'bestrafen', 'rüber', 'letzter', 'schluss', 'strafe']

85 ['kirche', 'katholisch', 'evangelisch', 'pfarrer', 'gemeinde', 'kirchlich', 'christlich', 'pastor', 'taufen', 'religion', 'beten', 'christ', 'religiös', 'gläubig', 'gott', 'gottesdienst', 'katholik', 'konfirmieren', 'kind', 'austreten', 'jugendweihe', 'predigen', 'bischof', 'zeit', 'erziehen', 'konfirmation', 'jugend', 'eltern', 'nennen', 'mensch', 'bibel', 'sonntags', 'religionsunterricht', 'gehören', 'trauen', 'priester', 'geistlich', 'fromm', 'stadt', 'rolle', 'streng', 'messe', 'heilig', 'kommunion', 'gespräch', 'besuchen', 'mitglied', 'glocke', 'gebet', 'konfirmandenunterricht']

86 ['erinnern', 'zeit', 'spät', 'wussen', 'richtig', 'gehören', 'erinnerung', 'passieren', 'kennen', 'erleben', 'geschichte', 'erfahren', 'frage', 'hören', 'wussten', 'reden', 'merken', 'schlimm', 'mensch', 'gefühl', 'mitkriegen', 'angst', 'situation', 'versuchen', 'erlebnis', 'erfahrung', 'mitbekommen', 'interessant', 'stimmen', 'tag', 'bewusst', 'normal', 'bild', 'besonderer', 'empfinden', 'eindruck', 'erklären', 'anfang', 'unterhalten', 'gespräch', 'ahnung', 'wusste', 'schlecht', 'art', 'fallen', 'relativ', 'treffen', 'interessiert', 'beschreiben', 'letzter']

87 ['weiss', 'friedland', 'lächeln', 'heisst', 'lengefeld', 'hiess', 'draussen', 'garnicht', 'hagen', 'nachman', 'haspe', 'sass', 'ddrzeit', 'bach', 'lünen', 'sassen', 'flossenbürg', 'grossmutter', 'liessen', 'spass', 'sonnenberg', 'pirna', 'thüringen', 'schliesslich', 'kettler', 'schimon', 'russisch', 'undda', 'julian', 'hanka', 'vati', 'lichtenberg', 'hmund', 'gevelsberg', 'akku', 'grossmutt', 'sagich', 'anschliessend', 'weissen', 'mutti', 'goldbergstrasse', 'exmann', 'unddann', 'bus', 'mielec', 'ostpreussen', 'unnamassen', 'schonmal', 'habich', 'lil']

88 ['geld', 'bezahlen', 'verdienen', 'kaufen', 'zahlen', 'rente', 'kosten', 'pfennig', 'arbeit', 'zeit', '50', 'prozent', 'verkaufen', 'sparen', 'staat', 'euro', 'schaffen', 'teuer', 'lohn', 'schlecht', 'gehalt', 'preis', '40', 'leisten', 'letzter', 'finanziell', 'tag', '25', 'steuer', 'billig', 'rechnen', 'ausgeben', 'auszahlen', '200', '500', 'miete', 'entschädigung', 'million', 'woche', 'richtig', 'hälfte', '400', 'summe', '300', '1000', 'wert', 'schuld', 'helfen', 'abgeben', 'stunde']

89 ['dorf', 'kolchose', 'krieg', 'mensch', 'vater', 'mutter', 'sterben', 'erinnern', 'deutschland', 'spät', 'haus', 'gebiet', 'iwan', 'familie', 'land', 'kolchos', 'schule', 'gott', 'bauen', 'ukraine', 'pferd', 'kiew', 'schwester', 'kuh', 'armee', 'kyjiw', 'herrin', 'station', 'oma', 'hungersnot', 'wohnen', 'vergessen', 'vorsitzend', 'bruder', 'bezirk', 'mädchen', '1933', 'klasse', 'reich', 'mühle', 'kaufen', 'kohlengrube', 'hütte', 'kreis', 'km', 'opa', 'arm', 'kilometer', 'kühe', 'einberufen']

90 ['mama', 'papa', 'erinnern', 'mutter', 'gott', 'krieg', 'wohnen', 'mädchen', 'deutschland', 'schwester', 'kind', 'haus', 'weinen', 'schicken', 'sterben', 'straße', 'spät', 'arbeit', 'dorf', 'vater', 'tochter', 'lieben', 'helfen', 'tante', 'arm', 'nennen', 'stadt', 'zeigen', 'schauen', 'fabrik', 'rufen', 'schlecht', 'bitten', 'anna', 'marija', 'schura', 'warten', 'minsk', 'foto', 'charkow', 'kiew', 'nadja', 'wera', 'vergessen', 'angst', 'kindch', 'geh', 'krank', 'nähe', 'maria']

91 ['fernuniversität', 'herr', 'hagen', 'universität', 'lachen', 'fernstudium', 'fernuni', 'professor', 'hochschule', 'klacken', 'atmen', 'ministerium', 'rau', 'rektor', 'student', 'kollege', 'betonen', 'bibliothek', 'peters', 'projekt', 'gründungsausschuss', 'bartz', 'wissenschaftlich', 'fachbereich', 'fachhochschule', 'kanzler', 'verwaltung', 'weiterbildung', 'kurs', 'studienbrief', 'anfang', 'zfe', 'fakultät', 'johannes', 'bochum', 'institut', 'university', 'spät', 'stelle', 'herrn', 'senat', 'studienzentren', 'aufgabe', 'forschung', 'kontakt', 'mitarbeiter', 'studierend', 'leises', 'minister', 'düsseldorf']

92 ['wohnung', 'zimmer', 'wohnen', 'haus', 'küche', 'gewohnen', 'schlafzimmer', 'bett', 'schlafen', 'eltern', 'wohnzimmer', 'schön', 'kind', 'möbel', 'familie', 'raum', 'kaufen', 'straße', 'einziehen', 'etage', 'keller', 'bad', 'bauen', 'fenster', 'einrichten', 'tisch', 'tür', 'mutter', 'gehören', 'räume', 'zeit', 'umziehen', 'platz', 'schrank', 'spät', 'toilette', 'flur', 'treppe', 'gewohnt', 'ausziehen', 'zweiter', 'woche', 'ecke', 'heiraten', 'nachbar', 'kochen', 'kinderzimmer', 'transkript', 'quadratmeter', 'mieten']

93 ['essen', 'brot', 'kochen', 'kartoffel', 'gegessen', 'tag', 'suppe', 'küche', 'hunger', 'fleisch', 'zucker', 'butter', 'wasser', 'milch', 'aßen', 'tisch', 'kaffee', 'erinnern', 'wurst', 'gramm', 'schmecken', 'backen', 'schlecht', 'mittagessen', 'arbeit', 'teller', 'stückchen', 'mehl', 'fisch', 'abends', 'aß', 'fett', 'woche', 'löffel', 'salz', 'gemüse', 'satt', 'klauen', 'kantine', 'mittag', 'hungern', 'scheibe', 'helfen', 'morgens', 'mädchen', 'gebacken', 'frühstück', 'hungrig', 'kuchen', 'schüssel']

94 ['jude', 'ghetto', 'jüdisch', 'auschwitz', 'mensch', 'wussten', 'tag', 'familie', 'überleben', 'krieg', 'zeit', 'wussen', 'lager', 'spät', 'kennen', 'deutsche', 'bergen', 'theresienstadt', 'schicken', 'belsen', 'erinnern', 'deutsch', 'arbeit', 'ort', 'bruder', 'transport', 'polen', 'niederlande', 'retten', 'freund', 'passieren', 'gruppe', 'umbringen', 'hören', 'israel', 'verstecken', 'warschau', 'westerbork', 'treffen', 'gehören', 'amsterdam', 'lodz', 'deportieren', 'getto', 'geschichte', 'gestapo', 'schwester', '44', 'schrecklich', 'zug']

