0 ['gefängnis', 'zelle', 'verhaften', 'bautzen', 'verurteilen', 'tag', 'russe', 'entlassen', 'cottbus', 'einsperren', 'russisch', 'iphe', 'spät', 'offizier', 'verhören', 'gefangener', 'verhaftung', 'deutsch', 'politisch', 'waldheim', 'unterschreiben', 'werwolf', 'westen', 'haft', 'sowjetisch', 'stasi', 'ddr', 'intavp', 'keller', 'verhör', 'vernehmung', 'zuchthaus', 'wussen', 'entlassung', 'erfahren', 'lager', '25', 'ehemalig', 'zeit', 'woche', 'sogenannter', 'zellen', 'berlin', 'polizei', 'halle', 'drüben', 'westberlin', 'saal', 'protokoll', 'dolmetscherin']
15 ['auto', 'urlaub', 'schön', 'tag', 'bus', 'fahrrad', 'reise', 'hotel', 'woche', 'kaufen', 'wagen', 'kilometer', 'motorrad', 'fahrt', 'führerschein', 'unterwegs', 'lachen', 'berg', 'gerne', 'feri', 'sommer', 'kennen', 'reisen', 'hingefahren', 'fahrer', 'fahrn', 'geld', 'straße', 'warten', 'fliegen', 'hinfahren', 'zweiter', 'gegend', 'letzter', 'bezahlen', 'ostsee', 'mitfahren', 'mitgefahren', 'besuchen', 'meer', 'stadt', 'benzin', 'bad', 'fuß', 'motor', 'schweiz', 'ausland', 'jugoslawien', 'richtig', 'wunderschön']

16 ['bauer', 'pferd', 'kühe', 'schwein', 'kartoffel', 'feld', 'hof', 'dorf', 'kuh', 'land', 'landwirtschaft', 'milch', 'hühner', 'schlachten', 'arbeit', 'vieh', 'stall', 'pferde', 'heu', 'helfen', 'getreide', 'melken', 'scheune', 'eier', 'garten', 'bauern', 'füttern', 'herbst', 'ernten', 'zeit', 'tier', 'winter', 'stroh', 'abgeben', 'sommer', 'bauernhof', 'verkaufen', 'haus', 'bäuerin', 'ernte', 'mähen', 'wagen', 'schaf', 'weizen', 'rüben', 'futter', 'maschine', 'wirtschaft', 'anbauen', 'schwer']

17 ['tür', 'fenster', 'hören', 'tag', 'bett', 'kopf', 'hand', 'schauen', 'schlafen', 'öffnen', 'fallen', 'schlagen', 'bein', 'rufen', 'arm', 'nachts', 'auge', 'boden', 'werfen', 'zweiter', 'springen', 'schreien', 'licht', 'klopfen', 'mädchen', 'zimmer', 'hof', 'wand', 'offen', 'rannen', 'weinen', 'stock', 'platz', 'dunkel', 'tisch', 'abend', 'raum', 'zeigen', 'warten', 'meter', 'verstecken', 'treppe', 'luft', 'führen', 'treten', 'aufstehen', 'tor', 'toilette', 'aufmachen', 'passieren']

18 ['schön', 'lachen', 'gerne', 'richtig', 'mensch', 'tag', 'gott', 'schlecht', 'kennen', 'zeit', 'ehrlich', 'hören', 'arbeit', 'woche', 'sögen', 'lernen', 'echt', 'schlimm', 'reden', 'merken', 'drüben', 'stimmen', 'fallen', 'lieber', 'schwer', 'überlegen', 'spaß', 'bestimmen', 'letzter', 'schaffen', 'nett', 'geh', 'gehören', 'lieb', 'vierzehn', 'warten', 'find', 'ordnung', 'froh', 'hör', 'stunde', 'ändern', 'rüber', 'moment', 'wenns', 'fünfzehn', 'passen', 'klappen', 'unterhalten', 'lust']

19 ['soldat', 'krieg', 'einziehen', 'arbeitsdienst', 'offizier', 'melden', 'tag', '44', 'front', 'einheit', 'russland', '43', 'wehrmacht', 'freiwillig', 'verwunden', 'zeit', 'einsatz', 'gefangenschaft', 'militär', 'lazarett', 'ausbildung', 'dienst', 'einsetzen', '42', 'urlaub', 'stellung', 'militärisch', 'uniform', 'ausbilden', 'general', 'mitmachen', 'truppe', 'entlassen', 'leutnant', 'berlin', 'letzter', 'woche', '41', 'schwer', 'kompanie', 'unteroffizier', 'glück', 'schießen', 'kaserne', 'hauptmann', 'waffe', '1944', 'frankreich', 'marine', 'kamerad']

