0 ['winter', 'kalt', 'schnee', 'sommer', 'holz', 'warm', 'ofen', 'heizen', 'herbst', 'kälte', 'wasser', 'arbeit', 'tag', 'schwer', 'regen', 'eis', 'frühjahr', 'wetter', 'regnen', 'mussen', 'feuer', 'füße', 'kohle', 'frost', 'gefroren', 'fuß', 'schlitt', 'zeit', 'wind', 'fallen', 'frühling', 'heiß', 'kleidung', 'kilometer', 'frieren', 'nass', 'wald', 'anziehen', 'hart', 'erfrieren', 'schuh', 'heizung', 'berg', 'sonne', 'zelt', 'decken', 'öfen', 'nachts', 'sammeln', 'bein']
14 ['lernen', 'beruf', 'lehre', 'ausbildung', 'schule', 'firma', 'prüfung', 'kaufmännisch', 'lehrling', 'zeit', 'berufsschule', 'besuchen', 'lehrstelle', 'mittlerer', 'ausbilden', 'verdienen', 'richtig', 'betrieb', 'arbeit', 'handelsschule', 'gerne', 'meister', 'spät', 'lehrlinge', 'volksschule', 'stelle', 'abschließen', 'vater', 'geld', 'abschluss', 'studieren', 'arbeitsamt', 'beruflich', 'reif', 'möglichkeit', 'erlernen', 'schlosser', 'lehrzeit', 'abitur', 'beenden', 'zweiter', 'schaffen', 'berufsausbildung', 'technisch', 'schwer', 'maurer', 'facharbeiter', 'damalig', 'lehrjahr', 'nennen']

15 ['geld', 'kaufen', 'bezahlen', 'verdienen', 'kosten', 'pfennig', 'verkaufen', 'sparen', 'teuer', 'zeit', 'zahlen', 'tag', 'arbeit', 'billig', 'schön', 'ausgeben', '50', 'einkaufen', 'leisten', 'essen', 'geschäft', 'woche', 'schlecht', 'taschengeld', 'anfang', 'preis', 'helfen', 'arm', '25', 'wert', 'abgeben', 'reichen', '40', 'anschaffen', 'dollar', 'bank', 'mensch', 'miete', 'fünfzig', 'schenken', 'groschen', 'haus', 'reich', 'lohn', 'verlieren', 'froh', 'unterstützen', 'kasse', 'finanziell', 'schuld']

16 ['heiraten', 'kind', 'verheiraten', 'eltern', 'kennen', 'tochter', 'mädchen', 'hochzeit', 'schwiegermutter', 'spät', 'freundin', 'wohnen', 'schwiegervater', 'sohn', 'lernen', 'mutter', 'scheiden', 'schön', 'verloben', 'liebe', 'schwester', 'haus', 'freund', 'tag', 'zweiter', 'familie', 'lachen', 'sterben', 'gebären', 'wohnung', 'heirat', 'treffen', 'gerne', 'lieben', 'vater', 'geld', 'verlieben', 'krieg', 'scheidung', 'schwiegerelter', 'schwanger', 'urlaub', 'richtig', 'tanzen', 'warten', 'besuchen', 'heirateen', 'zuhause', 'trennen', 'beziehung']

17 ['essen', 'brot', 'kochen', 'gegessen', 'kartoffel', 'suppe', 'tag', 'hunger', 'fleisch', 'küche', 'zucker', 'kaffee', 'wasser', 'butter', 'milch', 'aßen', 'tisch', 'wurst', 'abends', 'schmecken', 'backen', 'mittagessen', 'erinnern', 'woche', 'aß', 'löffel', 'mehl', 'gramm', 'stückchen', 'teller', 'schüssel', 'schlecht', 'fett', 'morgens', 'kuchen', 'gebacken', 'salz', 'satt', 'mittag', 'scheibe', 'frühstück', 'trinken', 'fisch', 'tee', 'brötchen', 'hungrig', 'kantine', 'warm', 'kaufen', 'hungern']

18 ['trinken', 'gruppe', 'alkohol', 'synanon', 'therapie', 'alkoholiker', 'trocken', 'nüchtern', 'droge', 'abstinenz', 'problem', 'süchtig', 'merken', 'jüdisch', 'lernen', 'abhängig', 'freund', 'richtig', 'ändern', 'abstinent', 'reden', 'ziel', 'passieren', 'verändern', 'krankenhaus', 'situation', 'sinn', 'angst', 'zeit', 'saufen', 'phase', 'schaffen', 'woche', 'rückfall', 'rückfällig', 'partnerschaft', 'akzeptieren', 'trockenheit', 'kopf', 'beziehung', 'gefühl', 'rauchen', 'erfahrung', 'normal', 'anfang', 'umgehen', 'zufrieden', 'fähigkeit', 'ansprechen', 'schritt']

19 ['mama', 'papa', 'erinnern', 'wohnen', 'gott', 'krieg', 'schwester', 'sterben', 'mutter', 'kind', 'arbeit', 'helfen', 'weinen', 'vater', 'haus', 'spät', 'mädchen', 'straße', 'dorf', 'deutschland', 'lieben', 'schicken', 'zeit', 'tochter', 'schauen', 'arm', 'familie', 'bitten', 'wohnung', 'schura', 'tante', 'nennen', 'rufen', 'krank', 'wera', 'marija', 'bruder', 'heiraten', 'foto', 'charkow', 'walja', 'fabrik', 'leningrad', 'schwer', 'selig', 'rubel', 'anna', 'antworten', 'stadt', 'tamara']

20 ['mensch', 'krieg', 'angst', 'passieren', 'schlimm', 'reden', 'wussen', 'gott', 'hören', 'volk', 'schwer', 'deutschland', 'schuld', 'kind', 'zeit', 'schlecht', 'welt', 'schrecklich', 'land', 'verlieren', 'wussten', 'geschehen', 'helfen', 'hitler', 'geschichte', 'kämpfen', 'deutsch', 'fühlen', 'zeigen', 'umbringen', 'wahrheit', 'erleben', 'erfahren', 'fallen', 'frage', 'überleben', 'behandeln', 'furchtbar', 'normal', 'wahr', 'menschlich', 'arm', 'retten', 'vergessen', 'böse', 'million', 'weise', 'sterben', 'lieben', 'buch']

21 ['richtig', 'schlecht', 'merken', 'kennen', 'falsch', 'stimmen', 'ändern', 'gerne', 'gott', 'streng', 'schön', 'hören', 'problem', 'versuchen', 'passieren', 'hart', 'behandeln', 'fallen', 'ordnung', 'reden', 'gehören', 'schwierigkeit', 'schlimm', 'art', 'unterschied', 'lachen', 'ärgern', 'umgehen', 'ordentlich', 'meinung', 'schwer', 'verhältnis', 'dumm', 'zeit', 'schaffen', 'zeigen', 'selten', 'lernen', 'anfang', 'menge', 'frage', 'ehrlich', 'fehler', 'erleben', 'wahr', 'schlagen', 'mitmachen', 'erklären', 'lieber', 'gegenteil']

22 ['auto', 'fahrrad', 'wagen', 'bus', 'straße', 'fahrer', 'kilometer', 'motorrad', 'führerschein', 'fahrzeug', 'lkw', 'kaufen', 'fahrräder', 'fuß', 'warten', 'unterwegs', 'benzin', 'rad', 'mercedes', 'motor', 'autobahn', 'fahrn', 'passieren', 'fahrt', 'kaputt', 'wartburg', 'reparieren', 'anhalten', 'richtung', 'lastwagen', 'garage', 'abholen', 'fest', 'werkstatt', 'taxi', 'opel', 'bahn', 'trabant', 'pkw', 'platz', 'grenze', 'gegend', 'hingefahren', 'berg', 'strecke', 'lkws', 'sprit', 'bauen', 'anfahren', 'gas']

23 ['jude', 'jüdisch', 'ghetto', 'familie', 'tag', 'erinnern', 'wussten', 'mensch', 'stadt', 'deutsch', 'deutsche', 'wussen', 'weiss', 'krieg', 'freund', 'hören', 'gemeinde', 'überleben', 'straße', 'jüdin', 'zeit', 'verstecken', 'synagoge', 'spät', 'gehören', 'vater', 'kind', 'haus', 'passieren', 'umbringen', 'gestapo', 'israel', 'eltern', 'retten', 'geschäft', 'stern', 'ort', 'arbeit', 'abholen', 'getto', 'polen', 'kristallnacht', 'antisemitismus', 'schrecklich', 'grodno', 'geschehen', 'auschwitz', 'ermorden', 'helfen', 'deportieren']

24 ['deutschland', 'deutsch', 'friedland', 'türkei', 'türkisch', 'familie', 'türke', 'stadt', 'land', 'kasachstan', 'heimat', 'ausländer', 'problem', 'libyen', 'eltern', 'sprache', 'ankommen', 'arbeit', 'lernen', 'deutsche', 'entscheiden', 'russland', 'umziehen', 'schön', 'antrag', 'kultur', 'echt', 'braunschweig', 'salzgitter', 'richtig', 'helfen', 'daheim', 'fliegen', 'ankara', 'syrien', 'warten', 'hannover', 'flughafen', 'heim', 'freund', 'schlimm', 'weiss', 'schwer', 'staatsbürgerschaft', 'istanbul', 'besuchen', 'abholen', 'ausreisen', 'entscheidung', 'gesellschaft']

25 ['schön', 'mädchen', 'weinen', 'auge', 'lieder', 'schwarz', 'lied', 'kind', 'tag', 'gott', 'schrecklich', 'haar', 'wunderbar', 'liebe', 'hand', 'haare', 'warten', 'lieb', 'hören', 'mensch', 'träne', 'freude', 'lieben', 'schlecht', 'lernen', 'brille', 'sonne', 'herr', 'herz', 'blond', 'schwer', 'glücklich', 'seele', 'platz', 'schwester', 'wunderschön', 'traum', 'vergessen', 'letzter', 'treffen', 'soldat', 'gedicht', 'interessant', 'küssen', 'gesicht', 'abend', 'schauen', 'blume', 'freundin', 'bitten']

26 ['gewerkschaft', 'betriebsrat', 'betrieb', 'kollege', 'wählen', 'mitglied', 'gewerkschaftlich', 'ig', 'arbeit', 'vorsitzend', 'essen', 'streik', 'spät', 'angestellter', 'metall', 'zeit', 'belegschaft', 'firma', 'arbeitsplatz', 'politisch', 'frage', 'vorstand', 'organisieren', 'mitbestimmung', 'hauptamtlich', 'dgb', 'kpd', 'versammlung', 'betriebsverfassungsgesetz', 'arbeitgeber', 'christlich', 'aeg', 'herr', 'organisation', 'gesetz', 'betreiben', 'anfang', 'aufsichtsrat', 'spd', 'vertreten', 'riegel', 'ehrenamtlich', 'arbeitnehmer', 'damalig', 'arbeiter', 'ötv', 'auseinandersetzung', 'krupp', 'versuchen', 'deutsch']

27 ['jamlitz', 'lieberose', 'cottbus', 'brechen', 'lübben', 'lieberos', 'lachen', 'uff', 'forst', 'stocken', 'iss', 'pusten', 'lager', 'zeit', 'berlin', 'stöhnend', 'nennen', 'letzter', '45', 'keene', 'gloobe', 'gube', 'ss', 'beeskow', 'richtung', 'gaststätte', 'sägewerk', 'stein', 'russe', 'lübbenau', 'drüben', 'wende', 'ort', 'bahnhof', 'freundin', 'ketschendorf', 'inne', 'nischen', 'frankfurt', 'menge', 'kz', 'flüchtling', 'jungs', 'stefan', 'richard', 'kommandantur', 'eenmal', 'hatse', 'globe', 'zwee']

28 ['vater', 'mutter', 'familie', 'großvater', 'großmutter', 'eltern', 'kind', 'großeltern', 'sterben', 'oma', 'opa', 'onkel', 'krieg', 'haus', 'schwester', 'bruder', 'gebären', 'großelter', 'kennen', 'heiraten', 'spät', 'weltkrieg', 'stammen', 'mütterlicherseits', 'geschwister', 'väterlicherseits', 'wohnen', 'sohn', 'dorf', 'zweiter', 'erinnerung', 'zeit', 'tante', 'kindheit', 'erinnern', 'söhne', 'generation', 'brüder', 'nennen', 'verwandtschaft', 'richtig', 'lernen', 'reich', 'bauernhof', 'elternhaus', 'land', 'geschichte', 'gehören', 'tant', 'aufwachsen']

29 ['keller', 'bunker', 'bombe', 'haus', 'angriff', 'krieg', 'fallen', 'schlimm', 'brennen', 'bombenangriff', 'angst', 'kaputt', 'alarm', 'straße', 'treffen', 'bombardieren', 'hören', 'erleben', 'passieren', 'zerstören', 'verbrennen', 'kind', 'stadt', 'tag', 'nachts', 'luftschutzkeller', 'spät', 'furchtbar', 'wohnen', 'fliegeralarm', 'flugzeug', 'ausgebombt', 'schrecklich', 'evakuieren', 'erinnern', 'mutter', 'tot', 'dach', 'fliegen', 'fenster', 'umkommen', 'retten', 'zerbombt', 'trümmer', 'erinnerung', 'feuer', 'nähe', 'mensch', '43', 'luftangriff']

