0 ['keller', 'bombe', 'flugzeug', 'bunker', 'fliegen', 'krieg', 'haus', 'angriff', 'bombardieren', 'fallen', 'bombenangriff', 'hören', 'alarm', 'treffen', 'brennen', 'kaputt', 'stadt', 'zerstören', 'schlimm', 'flieger', 'schießen', 'spät', 'passieren', 'erleben', 'angst', 'nähe', 'fliegeralarm', 'luftschutzkeller', 'straße', 'transkript', 'evakuieren', 'amerikaner', 'tot', 'nachts', 'bomben', 'umkommen', 'ausgebombt', 'zerbombt', 'erinnern', 'luftangriffe', '43', 'pilot', 'luft', 'verbrennen', 'abschießen', 'splitter', 'letzter', 'schrecklich', 'explodieren', 'engländer', 'retten', 'kind', 'bauen', 'wohnen', 'tag', 'erde', 'amerikanisch', 'furchtbar', 'tiefflieger', 'luftangriff', 'bombardierung', 'dach', 'feuer', 'stelle', 'trümmer', 'werfen', 'himmel', 'siren', 'flamme', 'schwer', '44', '1944', 'flughafen', 'nah', 'bombardiern', 'maschine', 'meter', 'rannen', '45', 'springen', 'gott', 'brennend', 'dick', 'abwerfen', 'dresden', 'brandbombe', 'schutt', 'flak', 'verletzen', 'tote', 'beschießen', 'löschen', 'kriegsend', 'bomber', 'angreifen', 'zweiter', 'fenster', 'beschädigen', 'brand', 'verbinden']
37 ['gewerkschaft', 'betriebsrat', 'betrieb', 'kollege', 'wählen', 'gewerkschaftlich', 'ig', 'mitglied', 'arbeit', 'streik', 'vorsitzend', 'metall', 'angestellter', 'belegschaft', 'politisch', 'essen', 'organisieren', 'hauptamtlich', 'spät', 'firma', 'dgb', 'aeg', 'arbeitgeber', 'mitbestimmung', 'betriebsverfassungsgesetz', 'zeit', 'frage', 'gesetz', 'christlich', 'arbeitsplatz', 'vorstand', 'kpd', 'arbeiter', 'spd', 'arbeitnehmer', 'vertreten', 'ehrenamtlich', 'betreiben', 'aufsichtsrat', 'aufgabe', 'riegel', 'ötv', 'organisation', 'auseinandersetzung', 'anfang', 'versammlung', 'herr', 'tätigkeit', 'funktion', 'arbeitsfront', '50er', 'betriebsversammlung', 'damalig', 'forderung', 'beschäftigen', 'deutsch', 'zweiter', 'schulung', 'selbstverständlich', 'bezirk', 'betriebsratsvorsitzender', 'freistellen', 'igmetall', 'wahl', 'düsseldorf', 'schwierigkeit', 'krupp', 'sekretär', 'lachen', 'einzeln', 'gewerkschaftsarbeit', 'betrieblich', '1950', 'ortsverwaltung', 'einstellen', 'frauenausschuss', 'versuchen', 'betriebsräte', 'aufstellen', 'lohn', 'position', 'betriebsratsvorsitzend', 'gewerkschaftsbund', 'frauenarbeit', 'einsetzen', 'unternehmer', 'einheitsgewerkschaft', 'echt', 'geschäftsleitung', '33', 'gestreikt', 'vertrauensmann', 'gewerkschafter', 'durchsetzen', 'gehören', 'nennen', 'kolleginn', 'partei', 'vorschlagen', 'diskutieren']

38 ['deutschland', 'amerika', 'deutsch', 'kanada', 'england', 'land', 'englisch', 'york', 'usa', 'freund', 'auswandern', 'amerikanisch', 'europa', 'schweiz', 'ausland', 'australien', 'welt', 'lernen', 'kennen', 'schweden', 'amerikaner', 'staat', 'reisen', 'israel', 'london', 'familie', 'woche', 'dollar', 'reise', 'onkel', 'südafrika', 'papier', 'kanadisch', 'schiff', 'college', 'hamburg', 'schweizer', 'südamerika', 'geld', 'brasilien', 'vancouver', 'geschichte', 'besuchen', 'studieren', 'schicken', 'afrika', 'münchen', 'interessant', 'sohn', 'vereinigt', 'treffen', 'kind', 'spät', 'paris', 'kontakt', 'einladen', 'job', 'irland', 'britisch', 'zurückkommen', 'international', 'kanadier', 'sprache', 'cousin', 'grund', 'fliegen', 'botschaft', 'visum', 'rüber', 'problem', 'kaufen', 'chicago', 'konsulat', 'frankfurt', 'europäisch', 'flugzeug', 'nett', 'wussen', 'zürich', 'wusste', 'haven', 'san', 'auswanderung', 'bank', 'indien', 'besuch', 'anfang', 'universität', 'drüben', 'atlanta', 'frankreich', 'argentinien', 'verbringen', 'zurückgehen', 'china', 'freundin', 'warten', 'art', 'dame', 'german']

39 ['zeitung', 'herr', 'westfalenpost', 'artikel', 'verlag', 'sträter', 'redaktion', 'redakteur', 'hagen', 'chefredakteur', 'drucken', 'lizenz', 'westfälisch', 'druckerei', 'butz', 'soest', 'hanke', 'papier', 'rundschau', 'handelsblatt', 'journalist', 'lensing', 'dortmund', 'presse', 'nachricht', 'westdruck', 'richtig', 'verleger', 'dr', 'ausgabe', 'vogel', 'druck', 'zeitschrift', 'kurier', 'anzeige', 'freiheit', 'lachend', 'schmelzer', 'blatt', 'lachen', 'altverleger', 'redakteure', '49', 'siegen', 'technik', 'weiss', 'pesch', 'rheinisch', 'herrn', 'technisch', 'spät', 'hamm', 'anfang', 'gebiet', 'lippstadt', 'schließen', 'politisch', 'auflage', 'leser', 'volkszeitung', 'herausgeben', 'ruhrnachricht', 'brite', 'peukert', 'fritz', 'betrieb', 'kölnisch', 'vertrag', 'frage', 'mitarbeiter', 'schwierigkeit', 'gehören', 'engländer', 'wirtschaftlich', 'lokal', 'bathey', 'herausgeber', 'düsseldorf', 'gustav', 'nationalzeitung', 'heisst', 'schluß', 'tageszeitung', 'verlage', 'markt', '1949', 'meldung', '46', 'verhandlung', 'doktor', 'damalig', 'post', 'lokalredakteur', 'olpe', 'überschrift', 'satz', 'wirtschaft', 'gespräch', 'kooperation', 'westfalen']

40 ['grenze', 'bürgermeister', 'dorf', 'lpg', 'ort', 'drüben', 'landwirtschaft', 'lachen', 'kreis', 'zwingen', 'gaststätte', 'bauer', 'worbis', 'erfurt', '52', 'duderstadt', 'wohnen', 'westen', 'sperrgebiet', 'magdeburg', '61', 'gemeinde', 'betrieb', 'rüber', 'polizei', 'nordhausen', 'aussiedeln', 'vierzehn', 'dörfer', 'gehören', 'hof', 'stasi', 'aussiedlung', 'fünfzig', 'zwangsaussiedlung', 'land', 'versammlung', 'heiligenstadt', 'mitmachen', 'gastwirtschaft', 'ebent', 'bleicherode', 'polizist', 'letzter', 'einsperren', 'enteignen', 'typ', 'nachbarort', 'kontrollieren', 'nischen', 'kilometer', 'aktion', 'eichsfeld', 'grenzgebiet', 'abhauen', 'erinnern', 'fünfzehn', 'hinkommen', 'kennen', 'laufwerk', 'genossenschaft', 'leise', 'bockelnhag', 'rat', 'ecklingerode', 'husten', 'bodenreform', 'weisen', 'genehmigung', 'salzwedel', 'einsetzen', 'zeit', 'kreise', 'sonnenstein', 'jar', 'gotha', 'flüstern', 'wussen', 'achtundvierzig', 'hingehen', 'stöckey', 'ausweisen', 'möbel', 'herr', 'maurer', 'mussen', 'familie', 'dicht', 'unterschreiben', 'schlecht', 'apolda', 'weißenborn', 'fünfziger', 'tanz', 'soundso', 'schwarz', 'konsum', 'schein', 'bezahlen', 'gekriegen']

41 ['dorf', 'kolchose', 'vater', 'krieg', 'mutter', 'erinnern', 'sterben', 'mensch', 'schule', 'ukraine', 'haus', 'deutschland', 'iwan', 'familie', 'gebiet', 'kiew', 'kolchos', 'land', 'spät', 'bauen', 'kuh', 'schwester', 'kaufen', 'kyjiw', 'klasse', 'ukrainisch', 'armee', 'bruder', 'pferd', '1933', 'hungersnot', 'wohnen', 'kilometer', 'hütte', 'dörfer', 'vorsitzend', 'bezirk', 'mädchen', 'kennen', 'treffen', 'gehören', 'kreis', 'hunger', 'verkaufen', 'gott', 'nadja', 'reich', 'stadt', 'dorfsowjet', 'oma', 'poltawa', 'vergessen', 'charkiw', 'dorfrat', 'siedlung', 'station', 'einberufen', '1939', 'feld', 'browary', 'revolution', 'mühle', '1941', 'opa', 'getreide', 'helfen', 'traktor', 'heim', 'fuß', 'jahrgang', 'moskau', 'km', 'sowchose', 'eisenbahn', 'sibirien', 'freilich', 'fachschule', 'befinden', 'mhmh', 'heiraten', 'vieh', 'nähe', 'abschließen', 'wegnehmen', 'lernen', 'kehren', 'charkow', 'entkulakisiert', 'deutsche', 'stammen', 'burty', 'wohlhabend', 'russland', 'überleben', '1938', 'wolodja', 'sowjetmacht', 'kollektivierung', 'bilden', 'entfernt']

42 ['friedland', 'rostock', 'bremen', 'deutschland', 'stadt', 'libyen', 'schwerin', 'japanisch', 'ipehefrau', 'salzgitter', 'flüchtling', 'echt', 'land', 'japan', '', 'stimmen', 'braunschweig', 'japaner', 'bevölkerung', 'ehh', 'hannover', 'hauptsache', 'herkunft', 'kommandantur', 'sertjukow', 'bremerhaven', 'glocke', 'ehmm', 'türkei', 'mitarbeiter', 'ausländer', 'jaipehefrau', 'ideal', '179', '235', 'regierung', 'teterow', 'reden', 'major', 'normal', 'erledigen', 'bremer', 'lauf', '237', '205', 'interview', 'mecklenburg', 'anerkennen', 'befehl', 'nötig', 'schmunzeln', 'ruhig', '300', 'nr', 'werft', '210', 'trudchen', 'bezirk', 'verlassen', 'mennonit', '160', '137', 'neipehefrau', 'vergleich', 'tunesien', 'güstrow', 'grenze', '206', '140', 'unterstützung', 'westen', 'ulm', 'iner', '220', 'fünfter', 'schreien', '312', 'rest', 'sprachkurs', 'münchen', 'antisemitismus', 'million', 'aleppo', 'unnamassen', '180', 'hmipehefrau', '129', 'zeven', 'grenzdurchgangslager', 'büsing', 'straßenbau', '40', 'araber', 'auffallen', 'aufwachsen', '184', '338', 'warnemünde', 'diakonie', 'chronik']

43 ['bild', 'foto', 'zeigen', 'malen', 'fotografieren', 'schön', 'zeichnen', 'künstler', 'ausstellung', 'gerne', 'kunst', 'spät', 'hängen', 'zeit', 'aufnehmen', 'farbe', 'interessant', 'aufnahme', 'fotograf', 'zeichnung', 'fotografie', 'kamera', 'platz', 'maler', 'museum', 'album', 'buch', 'zweiter', 'erinnern', 'verschieden', 'aussehen', 'wand', 'mitte', 'angucken', 'künstlerisch', 'dritter', 'fotos', 'erkennen', 'sammeln', 'fotoapparat', 'weißen', 'warten', 'idee', 'mitbringen', 'moment', 'film', 'tisch', 'papier', 'besuch', 'entwickeln', 'erinnerung', 'entstehen', 'schauen', 'letzter', 'blatt', 'bildern', 'kennen', 'blättern', 'licht', 'dauern', 'zeitung', 'hans', 'anschauen', 'welt', 'amsterdam', 'wunderbar', 'dokument', 'workshop', 'rahmen', 'weißt', 'galerie', 'hobby', 'tagebuch', 'nummer', 'harald', 'atelier', 'schade', 'stadt', 'hinstellen', 'malerei', 'kaufen', 'paris', 'spiegel', 'traurig', 'freund', 'hübsch', 'anfertigen', 'dose', 'mode', 'ausstellen', 'linker', 'versuchen', 'hochzeit', 'negativ', '80', 'fotoalbum', 'entdecken', 'plakat', 'vermieten', 'hintergrund']

44 ['arbeit', 'maschine', 'fabrik', 'meister', 'werk', 'betrieb', 'schwer', 'bauen', 'herstellen', 'werkstatt', 'arbeiter', 'hand', 'tag', 'ingenieur', 'eisen', 'schicht', 'schlosser', 'stunde', 'reparieren', 'verschieden', 'drehen', 'vorarbeiter', 'halle', 'material', 'kaputt', 'werkzeug', 'abteilung', 'nennen', 'produktion', 'zeit', 'kennen', 'lernen', 'tonne', 'anlage', 'produzieren', 'schaffen', 'motor', 'firma', 'metall', 'einsetzen', 'dick', 'technisch', 'elektrisch', 'mussen', 'spät', 'reparatur', 'arbeitsplatz', 'draht', 'kran', 'dreher', 'betreiben', 'richtig', 'blech', 'akkord', 'chef', 'bau', 'form', 'bedienen', 'beschäftigen', 'art', 'büro', 'zeigen', 'schmied', 'ordnung', 'schweißen', 'elektriker', 'millimeter', 'pulver', 'norm', 'stahl', 'gießerei', 'holz', 'liefern', 'mechaniker', 'kessel', 'nachtschicht', 'öfen', 'bohren', 'gerät', 'dritter', 'werkbank', 'fließband', 'sabotage', 'körperlich', 'presse', 'kraft', 'krieg', 'zeichnung', 'messen', 'aufgabe', 'löcher', 'minute', 'spezialist', 'mechanisch', 'hauptsächlich', 'wechseln', 'hütte', 'schneiden', 'facharbeiter', 'einstellen']

45 ['deutsch', 'lernen', 'sprache', 'englisch', 'deutschland', 'russisch', 'französisch', 'schule', 'deutsche', 'übersetzen', 'land', 'kennen', 'spanisch', 'vergessen', 'schwer', 'hebräisch', 'unterhalten', 'russland', 'besuchen', 'zeit', 'anfang', 'richtig', 'moskau', 'perfekt', 'kasachstan', 'helfen', 'akzent', 'reden', 'griechisch', 'schrift', 'frage', 'kultur', 'beibringen', 'wörter', 'zeigen', 'ausland', 'england', 'portugal', 'buchstabe', 'verständigen', 'jiddisch', 'interessant', 'studieren', 'unterrichten', 'ausländer', 'beherrschen', 'lateinisch', 'dolmetscherin', 'grammatik', 'erklären', 'hören', 'fallen', 'pass', 'antworten', 'komisch', 'nationalität', 'fließend', 'problem', 'kopf', 'fremd', 'fremdsprache', 'bücher', 'international', 'merken', 'zuhause', 'botschaft', 'portugiesisch', 'dolmetsch', 'latein', 'lehrerin', 'nennen', 'kurs', 'hochdeutsch', 'ankommen', 'entscheiden', 'stadt', 'alphabet', 'platt', 'stunde', 'literatur', 'dialekt', 'ahnung', 'fühlen', 'gotisch', 'umziehen', 'verschieden', 'unterschiedlich', 'flughafen', 'ort', 'übersetzung', 'hotel', 'fliegen', 'wörterbuch', 'möglichkeit', 'muttersprache', 'petersburg', 'bedeuten', 'vokabel', 'lieder', 'zeitung']

46 ['amsterdam', 'neintaf', 'vught', 'philips', 'rainer', 'holland', 'gerd', 'lisa', 'hengelo', 'haushaltshilfe', 'ddrzeit', 'hilversum', 'intaf', 'garnicht', 'het', 'wende', 'lichtenberg', 'uli', 'hille', 'hundsbach', 'amersfoort', 'undda', 'werkspoor', 'volk', 'freundin', 'bridge', 'van', 'mitglied', 'pirna', 'anzeige', 'bussum', 'lutmastraat', 'philip', 'vrije', 'evertsenstraat', 'cornelis', 'radeberg', 'riouwstraat', 'unddann', 'vati', 'signaal', 'enschede', 'eltern', 'simon', 'anzeigenwerber', 'boberick', 'lachtintaf', 'sozialarbeit', 'sound', 'humanitas', 'kaise', 'beworben', 'froh', 'stadtblatt', 'micsinyei', 'ückendorf', 'melden', 'schatz', 'sunder', 'saffierstraat', 'nichtja', 'moskou', 'jaund', 'westen', 'warich', 'weiterbildung', 'bus', 'padberg', 'jaintaf', 'lustig', 'vorbereiten', 'wunderschön', 'nsb', 'jadann', 'hmund', 'bob', 'feri', 'eindhove', 'schouwburg', 'hmja', 'godelheim', 'ichdann', 'diehatte', 'wuv', 'prinzip', 'driburg', 'zwischenzeitlich', 'eos', 'dawurde', 'hill', 'mutti', 'sonnenstein', 'utrecht', 'schick', 'afrikanerplein', 'nichtmehr', 'stöpsel', 'bereich', 'undso', 'brille']

47 ['lachen', 'leise', 'räusperen', 'hintergrund', 'husten', 'geräusch', 'betonen', 'murmeln', 'undeutlich', 'herr', 'flüstern', 'kennen', 'überlegen', 'stockend', 'atmen', 'reden', 'durcheinander', 'äußerung', 'stöhnen', 'stimme', 'furchtbar', 'schwer', 'gott', 'klappern', 'klopfen', 'blättern', 'stimmen', 'büro', 'geschirrklapper', 'klacken', 'schön', 'schlimm', 'räusper', 'vierzig', 'vogel', 'kenn', 'interessant', 'beruf', 'zeitung', 'schmiedeberg', 'find', 'schneider', 'räuspern', 'menge', 'nennen', 'verständlich', 'dömitz', 'berühmt', 'ähem', 'ruhig', 'miterleben', 'papierraschel', 'rüber', 'mitkriegen', 'hören', 'zwitschern', 'frage', 'hießen', 'stottern', 'umblättern', 'poltern', 'elternhaus', 'augenblick', 'typisch', 'unglaublich', 'hintergrundgeräusch', 'seufzt', 'sies', 'erleben', 'hättn', 'afn', 'papierrascheln', 'begriff', 'bestimmen', 'ran', 'stendal', 'kreischend', 'männern', 'weisen', 'pretzsch', 'draus', 'luft', 'schmunzeln', 'rest', 'brauch', 'mikrophon', 'gemeinsam', 'werner', 'gang', 'friedrich', 'kollegin', 'rechtsanwältin', 'seh', 'gegenteil', 'zögern', 'diskutieren', 'amüsieren', 'geschirr', 'ungeheuer', 'oebisfelde']

48 ['wald', 'baum', 'förster', 'fläche', 'jäger', 'jagd', 'bäume', 'bauer', 'pflanzen', 'natur', 'wachsen', 'hektar', 'pflanze', 'schön', 'wälder', 'hase', 'gebiet', 'forstamt', 'grün', 'meter', 'landschaft', 'moor', 'jagen', 'fünfzig', 'wild', 'mensch', 'gehören', 'holz', 'fällen', 'schützen', 'hecke', 'schießen', 'wiese', 'naturschutz', 'eiche', 'kennen', 'tier', 'dicht', 'solingen', 'prozent', 'begriff', 'kiefer', 'revier', 'forstwirtschaft', 'schlagen', 'pflegen', 'fichte', 'stelle', 'boden', 'fallen', 'gegend', 'düren', 'schutz', 'bäum', 'ast', 'ficht', 'vorgänger', 'eigentümer', 'sechzig', 'birke', 'waldgebiet', 'landwirtschaft', 'pappel', 'übernehmen', 'buchen', 'jahrhundert', 'sogenannter', 'gott', 'eichen', 'wanderweg', 'vögel', 'tal', 'weisen', 'försterei', 'teich', 'bepflanzen', 'interessant', 'wunderschön', 'zeigen', 'heide', 'lebensraum', 'sauerland', 'mittlerweile', 'wasser', 'kosten', 'ackerland', 'walde', 'schutzgemeinschaft', 'vierzig', 'forst', 'landforstmeister', 'äste', 'schmetterling', 'erreichen', 'kiefern', 'grüne', 'gemeinde', 'entstehen', 'standort', 'waldjugend']

49 ['vater', 'mutter', 'schwester', 'bruder', 'sterben', 'familie', 'kind', 'eltern', 'haus', 'geschwister', 'wohnen', 'krieg', 'brüder', 'spät', 'tot', 'zeit', 'sohn', 'krank', 'heiraten', 'tochter', 'schwager', 'wussen', 'fallen', 'besuchen', 'tante', 'helfen', 'schwer', 'schicken', 'papa', 'schwägerin', 'verheiraten', 'onkel', 'tod', 'friedhof', 'schlecht', 'tag', 'beerdigung', 'krankenhaus', 'beerdigen', 'wohnung', 'zweiter', 'essen', 'mutti', 'grab', 'weinen', 'zurückgekommen', 'erfahren', 'mädchen', 'gehören', 'zuhause', 'überleben', 'verwandter', 'verlieren', 'verstorben', 'gebären', 'besuch', 'letzter', 'treffen', 'sorgen', 'söhne', 'kümmern', 'kontakt', 'verwandt', 'wussten', 'neffe', 'ankommen', 'verwandte', 'zurückkommen', 'brüdern', 'gewohnen', 'nachricht', 'älte', 'traurig', 'ält', 'kennen', 'woche', 'retten', 'umkommen', 'begraben', 'gesund', 'stiefmutter', 'fremd', 'arm', 'geschäft', 'cousine', 'dorf', 'versterben', 'hilfe', 'cousin', 'abholen', 'maria', 'heim', 'hingehen', 'töchter', 'nennen', 'geschickt', 'hof', 'hingefahren', 'weggehen', 'pflegen']

50 ['tag', 'herr', 'anrufen', 'woche', 'telefon', 'rufen', 'spät', 'wussen', 'kennen', 'melden', 'hören', 'warten', 'stunde', 'schicken', 'bescheid', 'sohn', 'wusste', 'post', 'letzter', 'besuchen', 'telefonieren', 'zeit', 'erfahren', 'nett', 'treffen', 'reden', 'wussten', 'termin', 'freund', 'richtig', 'klingeln', 'gespräch', 'gerne', 'bestellen', 'abend', 'chef', 'unterhalten', 'büro', 'adresse', 'hand', 'tisch', 'besuch', 'erklären', 'urlaub', 'versuchen', 'vergessen', 'aufnehmen', 'bitten', 'abholen', 'stimmen', 'minute', 'zeigen', 'schriftlich', 'moment', 'ordnung', 'merken', 'auto', 'morgens', 'stelle', 'hingehen', 'anmelden', 'passieren', 'dauern', 'aufgeschrieben', 'herrn', 'geschichte', 'hinfahren', 'sögen', 'freuen', 'informieren', 'überlegen', 'platz', 'zweiter', 'klappen', 'nummer', 'helfen', 'unterschreiben', 'kümmern', 'tür', 'frage', 'ahnung', 'entscheiden', 'nachricht', 'erledigen', 'hör', 'zeitung', 'abends', 'problem', 'leid', 'zimmer', 'begrüßen', 'ansprechen', 'direktor', 'zufall', 'besorgen', 'mitteilen', 'vierzehn', 'rüber', 'anruf', 'fallen']

51 ['kirche', 'katholisch', 'evangelisch', 'pfarrer', 'gemeinde', 'kirchlich', 'pastor', 'christlich', 'taufen', 'religion', 'kind', 'gottesdienst', 'religiös', 'christ', 'katholik', 'zeit', 'konfirmieren', 'jugendweihe', 'austreten', 'predigen', 'gehören', 'bischof', 'konfirmation', 'nennen', 'religionsunterricht', 'jugend', 'priester', 'gläubig', 'eltern', 'sonntags', 'erziehen', 'rolle', 'schule', 'kommunion', 'besuchen', 'beten', 'messe', 'trauen', 'lachen', 'fromm', 'stadt', 'geistlich', 'streng', 'kaplan', 'konfirmandenunterricht', 'stelle', 'einstellung', 'letzter', 'taufe', 'kirchensteuer', 'gemeinschaft', 'gespräch', 'hingehen', 'mitglied', 'verbieten', 'bekennend', 'ort', 'glocke', 'bindung', 'elternhaus', 'bibel', 'konfession', 'theologie', 'protestantisch', 'vortrag', 'kindergottesdienst', 'konfessionell', 'cvjm', 'läuten', 'gott', 'protestant', 'geschichte', 'papst', 'theologisch', 'schließen', 'führen', 'grunde', 'trennen', 'christenlehre', 'jugendbewegung', 'gemeinsam', 'heilig', 'katholiken', 'pater', 'feiern', 'treten', 'kirchengemeind', 'interessant', 'sekt', 'reihe', 'staat', 'gruppe', 'zwingen', 'herr', 'kreis', 'dorf', 'gottesdienste', 'wagen', 'engagieren', 'abhalten']

52 ['russe', 'tag', 'soldat', 'dorf', 'fahrrad', 'schießen', 'straße', 'amerikaner', 'brücke', 'rüber', 'panzer', 'richtung', 'kilometer', 'wagen', 'ort', 'ami', 'russisch', 'unterwegs', 'wald', '45', 'erschießen', 'grenze', 'bauer', 'deutsch', 'haus', 'mussen', 'flüchtling', 'kaputt', 'fuß', 'angst', 'abhauen', 'letzter', 'wussten', 'verstecken', 'passieren', 'gehören', 'nachts', 'woche', 'offizier', 'lkw', 'flucht', 'zeit', 'gewehr', 'keller', 'auto', 'marschieren', 'mensch', 'waffe', 'erleben', 'westen', 'rucksack', 'nähe', 'pistole', 'pferd', 'bürgermeister', 'elbe', 'hand', 'flüchten', 'richtig', 'glück', 'sprengen', 'hören', 'fahrräder', 'bahnhof', 'schlimm', 'besetzen', 'unterbringen', 'tot', 'übernachten', 'front', 'schlafen', 'erwischen', 'ankommen', 'landen', 'volkssturm', 'rauskommen', 'berg', 'königsberg', 'ss', 'autobahn', 'krieg', 'kommandantur', 'polen', 'berlin', 'abends', 'ecke', 'kriegsend', 'gegend', 'fahne', 'fahrzeug', 'warten', 'gefangenschaft', 'rot', 'nah', 'truppe', 'engländer', 'freundin', 'plündern', 'drüben', 'arm']

53 ['dresden', 'leipzig', 'chemnitz', 'rabenstein', 'betrieb', 'lachen', 'karlmarxstadt', 'sachsen', 'stadt', 'drüben', 'wismut', 'bürgermeister', 'ort', 'siegmar', '45', 'gott', 'erzgebirge', 'gehören', 'drinnen', 'aue', 'rathaus', 'zwickau', 'polar', 'plau', 'sächsisch', 'gemeinde', 'karl', 'wahr', 'lengefeld', 'handschuhe', 'bockau', 'freiberg', 'zschorlau', 'schaffen', 'walter', 'heimarbeit', 'marx', 'vater', 'schön', 'bad', 'handschuh', 'westen', 'merkel', 'straßenbahn', 'kennen', 'kutzner', 'gaststätte', 'jawohl', 'beginn', 'nachkriegszeit', 'wohnen', 'auto', 'riesa', 'schwarzenberg', 'mitmachen', 'junghans', 'fabrik', 'chef', 'netzschkau', 'magdeburg', 'marienberg', 'martha', 'maschine', 'sohn', 'kommunist', 'pockau', 'bauen', '33', 'fritz', 'leipziger', 'stricken', 'bachmann', 'neubert', 'ddr', 'müller', '50', 'übernehmen', 'sterben', 'rüber', 'einsetzen', 'lieb', 'zeitig', 'sin', 'barthel', 'heim', 'fein', 'joa', '49', 'treuhänder', 'warten', 'küster', 'dachdecker', 'wanderer', 'max', 'unger', 'ruhig', 'enorm', 'zweie', 'einwohner', 'verwaltung']

54 ['ghetto', 'jude', 'mensch', 'tag', 'deutsche', 'jüdisch', 'verstecken', 'arbeit', 'stadt', 'familie', 'deutsch', 'wussten', 'warschau', 'erinnern', 'grodno', 'straße', 'zeit', 'überleben', 'ort', 'erschießen', 'spät', 'polnisch', 'wussen', 'aufstand', 'gruppe', 'judenrat', 'gestapo', 'kennen', 'polen', 'haus', 'hören', 'deportieren', 'verschieden', 'deportation', 'gendarm', 'lodz', 'liste', 'versuchen', 'fliehen', 'untergrund', 'gelingen', '1942', 'warschauer', 'ermorden', 'polizei', 'befinden', 'verlassen', 'treblinka', 'schlagen', 'schwer', 'nennen', 'retten', '42', 'befehl', 'art', 'geschichte', 'organisieren', 'versammeln', 'schindler', 'versteck', 'arbeitslager', 'baby', 'geschehen', 'festnehmen', 'smorgon', 'schließen', 'liquidieren', 'polizist', 'krakau', 'vilnius', 'aktion', 'moment', 'bedingung', '43', 'geld', 'gefährlich', 'umbringen', 'belarussisch', 'weise', 'wagen', 'zurückkehren', 'heimatarmee', 'erfahren', 'schicken', 'arisch', 'herrschen', 'vernichten', 'kehren', 'töten', 'nachbar', 'bialystok', 'zurückkommen', 'beschloss', 'führen', 'transport', 'ss', 'sorgen', 'vater', 'kauna', 'waffe']

55 ['gericht', 'prozess', 'akte', 'urteil', 'richter', 'verfahren', 'anwalt', 'verurteilen', 'rechtsanwalt', 'politisch', 'staatsanwalt', 'antrag', 'zeuge', 'stasi', 'herr', 'justiz', 'aussage', 'beantragen', 'gesetz', 'grund', 'deutsch', 'paragraph', 'aussagen', 'verhandlung', 'geschichte', 'entschädigung', 'landgericht', 'verbrechen', 'juristisch', 'staatsanwaltschaft', 'staatssicherheit', 'prozesse', 'strafe', 'zeugen', 'begründung', 'erklären', 'vertreten', 'spät', 'ehemalig', 'jurist', 'unterlage', 'ablehnen', 'führen', 'ddr', 'rehabilitierung', 'angeklagter', 'artikel', 'bestrafen', 'anerkennen', 'erfolgen', 'staat', 'behörde', 'gerichtsverhandlung', 'gauck', 'berlin', 'schuld', 'haft', 'erwähnen', 'zuständig', 'häftling', 'sogenannter', 'gefängnis', 'einreichen', 'ministerium', 'verklagen', 'praxis', 'herrn', 'verfolgen', 'verhaften', 'verurteilung', 'schuldig', 'feststellen', 'bonn', 'vernehmen', 'ermitteln', 'dauern', 'anklagen', 'akt', 'nürnberger', 'verteidigen', 'absatz', 'anklage', 'klage', 'stern', 'beweis', 'anzeige', 'begehen', 'unrecht', 'anrechnen', 'beweisen', 'amtsgericht', 'zweiter', 'durchführen', 'anerkennung', 'betreffen', 'schriftlich', 'richterin', 'aufheben', 'aufnehmen', 'häftlingshilfegesetz']

56 ['ausstellung', 'gedenkstätte', 'museum', 'stadt', 'geschichte', 'ort', 'arbeit', 'projekt', 'ehemalig', 'gruppe', 'jüdisch', 'veranstaltung', 'verein', 'einrichtung', 'haus', 'idee', 'nationalsozialismus', 'schüler', 'pädagogisch', 'stelle', 'zeigen', 'unterstützen', 'forschung', 'historisch', 'initiative', 'düsseldorf', 'konzept', 'villa', 'widerstand', 'achtziger', 'anfang', 'gemeinde', 'gesellschaft', 'opfer', 'essen', 'presse', 'stadtarchiv', 'förderverein', 'führen', 'geld', 'grunde', 'programm', 'zeitzeuge', 'archiv', 'entstehen', 'synagoge', 'zusammenarbeit', 'raum', 'vorstand', 'unterstützung', 'mahnmal', 'gebäude', 'einladen', 'geschehen', 'begegnung', 'jude', 'aufarbeiten', 'walsum', 'interessant', 'mitglied', 'entwickeln', 'öffentlichkeit', 'zwangsarbeiter', 'sinti', 'institution', 'phase', 'buch', 'zeitzeug', 'besucher', 'hompel', 'führung', 'schule', 'durchführen', 'erfahren', 'region', 'finanzieren', 'umsetzen', 'reich', 'quellen', 'forschen', 'bürger', 'gedenken', 'vortrag', 'erlangen', 'gelingen', 'institut', 'engagieren', 'gründen', 'dr', 'vergangenheit', 'leisten', 'volkshochschule', 'historiker', 'jugendliche', 'seinerzeit', 'engagiert', 'kultur', 'fünfzehn', 'mittel', 'dritter']

