0 ['keller', 'bombe', 'flugzeug', 'bunker', 'fliegen', 'krieg', 'haus', 'angriff', 'bombardieren', 'fallen', 'bombenangriff', 'hören', 'alarm', 'treffen', 'brennen', 'kaputt', 'stadt', 'zerstören', 'schlimm', 'flieger', 'schießen', 'spät', 'passieren', 'erleben', 'angst', 'nähe', 'fliegeralarm', 'luftschutzkeller', 'straße', 'transkript', 'evakuieren', 'amerikaner', 'tot', 'nachts', 'bomben', 'umkommen', 'ausgebombt', 'zerbombt', 'erinnern', 'luftangriffe', '43', 'pilot', 'luft', 'verbrennen', 'abschießen', 'splitter', 'letzter', 'schrecklich', 'explodieren', 'engländer', 'retten', 'kind', 'bauen', 'wohnen', 'tag', 'erde', 'amerikanisch', 'furchtbar', 'tiefflieger', 'luftangriff', 'bombardierung', 'dach', 'feuer', 'stelle', 'trümmer', 'werfen', 'himmel', 'siren', 'flamme', 'schwer', '44', '1944', 'flughafen', 'nah', 'bombardiern', 'maschine', 'meter', 'rannen', '45', 'springen', 'gott', 'brennend', 'dick', 'abwerfen', 'dresden', 'brandbombe', 'schutt', 'flak', 'verletzen', 'tote', 'beschießen', 'löschen', 'kriegsend', 'bomber', 'angreifen', 'zweiter', 'fenster', 'beschädigen', 'brand', 'verbinden']
12 ['hitler', 'nazi', 'vater', 'krieg', '33', 'zeit', 'partei', 'politisch', 'deutsch', 'bdm', 'hitlerjugend', 'uniform', 'nationalsozialismus', 'heil', 'lachen', 'jungvolk', 'führer', 'erinnern', 'gehören', 'sa', 'fahne', 'spät', 'nationalsozialistisch', 'nennen', 'jugend', 'nazizeit', 'mitmachen', 'nsdap', 'schule', 'adolf', '1933', '34', 'straße', '36', 'erleben', '38', 'reich', '35', 'nazis', 'politik', 'hj', 'kennen', 'nationalsozialist', 'herr', 'marschieren', '37', 'braun', 'kommunist', 'organisation', 'mitglied', 'antreten', 'grüßen', 'arbeitsfront', 'fallen', 'begeistert', 'gruppe', 'sammeln', 'mussen', 'bund', 'arbeitsdienst', '45', 'schwierigkeit', 'arbeitslos', '32', 'dienst', 'göring', 'erlebnis', 'hießen', 'entsinnen', 'damalig', 'volk', 'stahlhelm', 'übernehmen', 'zwingen', 'dritter', 'sogenannter', 'blockwart', 'beamter', 'verein', 'empfinden', 'erinnerung', '39', 'grund', 'verbieten', 'freund', 'arbeitslose', '1934', 'husten', 'ehrlich', 'parteigenosse', 'gegend', 'stimmen', 'arbeitslosigkeit', 'mitkriegen', 'einziehen', 'freiwillig', 'sozialdemokrat', 'organisieren', 'letzter', 'grunde']

13 ['zug', 'bahnhof', 'tag', 'waggon', 'stadt', 'ankommen', 'unterwegs', 'essen', 'wagen', 'fuß', 'richtung', 'warten', 'bus', 'fahrt', 'station', 'wussten', 'koffer', 'bahn', 'spät', 'straßenbahn', 'mensch', 'transport', 'kilometer', 'mussen', 'transportieren', 'eisenbahn', 'ort', 'woche', 'abholen', 'aussteigen', 'deutschland', 'einsteigen', 'auto', 'grenze', 'gepäck', 'soldat', 'platz', 'strecke', 'offen', 'verladen', 'wussen', 'dauern', 'berlin', 'zeit', 'lager', 'stunde', 'züge', 'nähe', 'trennen', 'tür', 'glück', 'brücke', 'frankfurt', 'umsteigen', 'ausgestiegen', 'fenster', 'ankamen', 'versuchen', 'ausladen', 'fahrkarte', 'unterbringen', 'treffen', 'bahnsteig', 'erinnern', 'packen', 'nachts', 'wagon', 'lkw', 'verabschieden', 'anhalten', 'erreichen', 'güterzug', 'schicken', 'gruppe', 'übernachten', 'letzter', 'laden', 'papier', 'begleiten', 'lkws', 'lastwagen', 'hauptbahnhof', 'schaffen', 'gleise', 'gleis', 'bahnstation', 'abfahren', 'straße', 'landen', 'reise', 'verlassen', 'aussuchen', 'ahnung', 'zerstören', 'sammeln', 'wasser', 'abteil', 'tasche', 'eisenbahner', 'passieren']

14 ['frankreich', 'französisch', 'franzose', 'paris', 'holland', 'spanien', 'deutsch', 'belgien', 'deutschland', 'holländisch', 'holländer', 'brüssel', 'spanisch', 'grenze', 'luxemburg', 'international', 'hotel', 'belgisch', 'niederlande', 'niederländisch', 'belgier', 'deutsche', 'lager', 'spanier', 'schweiz', 'geschichte', 'bordeaux', 'kontakt', 'marseille', 'straßburg', 'land', 'südfrankreich', 'karte', 'barcelona', 'claude', 'art', 'besetzen', 'verbindung', 'england', 'elsass', 'franco', 'französin', 'madrid', 'la', 'europa', 'moment', 'schicken', 'linie', 'ausländer', 'widerstand', 'rotterdam', 'militär', 'rhodos', 'invasion', 'verhaften', 'englisch', 'kongo', 'italien', 'flüchten', 'lyon', 'vichy', 'zeigen', 'gaulle', 'nennen', 'europäisch', 'utrecht', 'kennen', 'organisieren', 'italiener', 'fahrt', 'italienisch', 'süden', 'papier', 'london', 'toulouse', 'küste', 'nato', 'berühmt', 'provinz', 'pierre', 'versailles', 'engländer', 'gebiet', 'le', 'bürgerkrieg', 'kloster', 'genf', 'komitee', 'nazi', 'empfangen', 'laboratorium', 'sprache', 'landen', 'vernet', 'zug', 'entschuldigung', 'unterbringen', 'portugal', 'vertreter', 'illegal']

15 ['wahr', 'kollege', 'herr', 'kennen', 'passieren', 'schluß', 'warschau', 'kuckuck', 'sögen', 'normal', 'verschieden', 'tonqualität', 'pfadfinder', 'ehemalig', 'toi', 'geschichte', 'schlecht', 'dauern', 'polizei', 'drüben', 'nähe', 'weltkrieg', 'schmunzeln', 'rheydt', 'vertrag', 'wirtschaft', 'verwaltung', 'sogenannter', 'gefahrn', 'menge', 'weberei', 'mönchengladbach', 'seh', 'rad', 'augenblick', 'garnicht', 'konflikt', 'krieg', 'dreimal', 'vierzehn', 'poln', 'bohren', 'lehrer', 'gewohnt', 'götze', 'bezirk', 'pfadfindern', 'büro', 'gründer', 'angeblich', 'merken', 'unglaublich', 'kriege', 'holm', 'kucken', 'stella', 'gesell', 'kautsch', 'meister', 'katernberg', 'teilnehmen', 'material', 'mochlitz', 'schirmann', 'trommel', 'gesehn', 'bindfad', 'pfadfind', 'murmeln', 'volksdienst', 'maris', 'cvjm', 'alfred', 'travemünde', 'beieinander', 'rosel', 'sagn', 'wenigster', 'kursus', 'meinswegen', 'bug', 'zentrum', 'kombattant', 'gendarmerie', 'gesellen', 'verbinden', 'volksgarten', 'hauptquartier', 'kassette', 'quartier', 'bramburger', 'begrüßen', '900', 'stube', 'osnabrück', 'denkn', 'crailsheim', 'jawohl', 'feststellen', 'zweck']

16 ['lager', 'auschwitz', 'tag', 'mensch', 'arbeit', 'wussten', 'erinnern', 'sterben', 'baracke', 'zeit', 'deutsch', 'gruppe', 'nummer', 'essen', 'block', 'überleben', 'spät', 'ort', 'transport', 'barack', 'ss', 'häftling', 'deutsche', 'schicken', 'art', 'appell', 'jude', 'wussen', 'bergen', 'mädchen', 'buchenwald', 'belsen', 'konzentrationslager', 'marschieren', 'passieren', 'zählen', 'befreien', 'brot', 'hören', 'schauen', 'krank', 'fabrik', 'krematorium', 'kapo', 'reihe', 'selektion', 'platz', 'dachau', 'kleidung', 'glück', 'töten', 'schrecklich', 'birkenau', 'befreiung', 'jüdisch', 'theresienstadt', 'westerbork', 'stunde', 'bruder', 'versuchen', 'ravensbrück', 'letzter', 'schwester', 'nennen', 'helfen', 'mussen', 'kommando', 'typhu', 'tor', 'befinden', 'gefangener', 'arbeitslager', 'trennen', '44', 'umbringen', 'retten', 'gaskammer', 'zurückkommen', 'schlafen', 'berg', 'kapos', 'marsch', 'stecken', 'warten', 'schlagen', 'tot', 'kennen', 'verbrennen', 'zug', 'tod', 'suppe', 'stein', 'kleider', 'rot', 'verschieden', 'stutthof', 'werfen', 'czstochowa', 'schwer', 'fuß']

