0 ['kirche', 'katholisch', 'evangelisch', 'pfarrer', 'kirchlich', 'christlich', 'pastor', 'religiös', 'gott', 'taufen', 'beten', 'religion', 'gemeinde', 'christ', 'gläubig', 'kind', 'mensch', 'katholik', 'jugendweihe', 'austreten', 'konfirmieren', 'zeit', 'konfirmation', 'gottesdienst', 'erziehen', 'religionsunterricht', 'bibel', 'eltern', 'rolle', 'gehören', 'priester', 'nennen', 'schule', 'predigen', 'bischof', 'streng', 'sonntags', 'fromm', 'jugend', 'gebet', 'heilig', 'geistlich', 'messe', 'kommunion', 'trauen', 'verbieten', 'besuchen', 'kaplan', 'glocke', 'papst', 'jesus', 'konfirmandenunterricht', 'taufe', 'gemeinschaft', 'mitglied', 'christus', 'schließen', 'kreuz', 'welt', 'hingehen', 'kloster', 'letzter', 'christentum', 'elternhaus', 'einstellung', 'gemeinsam', 'reich', 'kirchensteuer', 'konfessionell', 'protestantisch', 'fest', 'protestant', 'schön', 'erzogen', 'nonne', 'kindergottesdienst', 'ikonen', 'konfession', 'bindung', 'interessant', 'entscheiden', 'rom', 'andacht', 'läuten', 'bekennend', 'tisch', 'pater', 'theologie', 'verschieden', 'katholiken', 'versammlung', 'studieren', 'sekt', 'wert', 'erklären', 'ort', 'sünde', 'lernen', 'lehre', 'zwingen']

11 ['israel', 'kibbuz', 'gruppe', 'jude', 'jerusalem', 'araber', 'hebräisch', 'tel', 'aviv', 'palästina', 'land', 'arabisch', 'haifa', 'geschichte', 'ort', 'zeit', 'bewegung', 'lernen', 'armee', 'spät', 'militär', 'verlassen', 'lager', 'treffen', 'einwanderung', 'staat', 'befinden', 'krieg', 'englisch', 'zypern', 'engländer', 'problem', 'schauen', 'tunesien', 'organisieren', 'gehören', 'nennen', 'kfar', 'jüdisch', 'kerngruppe', 'holocaust', 'ägypten', 'israelisch', 'harold', 'marokko', 'beit', 'eretz', 'britisch', 'jugend', 'freund', 'kennen', 'religiös', 'kibbuzim', 'schicken', 'organisation', 'soldat', 'grenze', 'schoah', 'eingewandern', 'israeli', 'einwanderer', 'hatzair', 'schiff', 'gründen', 'deutschland', 'illegal', 'libyen', 'gusch', 'bereit', 'tunis', 'beschließen', 'menge', 'ordnung', 'shalom', 'shoa', 'italien', 'polizei', 'richtig', 'süden', 'haschomer', 'art', 'vorbereitung', 'mitglied', 'erinnern', 'zweiter', 'helfen', 'einwandern', 'zelt', 'operation', 'zurückkommen', 'brite', 'ben', 'wussen', 'beschäftigen', 'verschieden', 'rabbiner', 'atlit', 'zionistisch', 'beerscheba', 'hagana']

12 ['kontakt', 'freund', 'treffen', 'kennen', 'zeit', 'familie', 'freundin', 'besuchen', 'wohnen', 'freundschaft', 'beziehung', 'eng', 'spät', 'nett', 'einladen', 'verhältnis', 'verbindung', 'schön', 'unterhalten', 'mensch', 'lernen', 'befreundet', 'helfen', 'gruppe', 'richtig', 'gemeinsam', 'mädchen', 'untereinander', 'kreis', 'aufnehmen', 'gerne', 'gehören', 'eltern', 'erinnern', 'reden', 'verschieden', 'besuch', 'gegenseitig', 'ergeben', 'problem', 'nachbar', 'versuchen', 'interessant', 'wussen', 'frage', 'organisieren', 'fühlen', 'letzter', 'kollege', 'selten', 'essen', 'fest', 'befreunden', 'kümmern', 'freizeit', 'abend', 'freundinn', 'erfahren', 'anfang', 'bekanntenkreis', 'woche', 'stadt', 'alter', 'bekanntschaft', 'tag', 'hören', 'freundeskreis', 'erinnerung', 'beschäftigen', 'feiern', 'privat', 'hauptsächlich', 'unternehmen', 'ehemalig', 'abends', 'schule', 'trennen', 'ort', 'pflegen', 'nah', 'gemeinschaft', 'zusammenkommen', 'verbinden', 'zuhause', 'freundschaftlich', 'gespräch', 'interessiert', 'hamburg', 'haus', 'bestimmen', 'veranstaltung', 'besonderer', 'jugend', 'art', 'auseinander', 'freundinnen', 'ansprechen', 'echt', 'zufall', 'nachbarschaft']

13 ['zeit', 'frage', 'versuchen', 'problem', 'richtig', 'gewiß', 'möglichkeit', 'art', 'mensch', 'politisch', 'führen', 'rolle', 'meinung', 'sinn', 'situation', 'gespräch', 'gehören', 'grunde', 'weise', 'grund', 'spät', 'verhältnis', 'verschieden', 'entwickeln', 'entwicklung', 'anfang', 'bereich', 'ändern', 'form', 'geschichte', 'erfahrung', 'erleben', 'richtung', 'unterschiedlich', 'letzter', 'gruppe', 'relativ', 'unterschied', 'aufgabe', 'merken', 'wesentlich', 'deutlich', 'offen', 'entstehen', 'diskussion', 'besonderer', 'einzeln', 'absolut', 'eindruck', 'selbstverständlich', 'damalig', 'diskutieren', 'hören', 'falsch', 'nennen', 'positiv', 'interessiert', 'gemeinsam', 'sogenannter', 'begriff', 'sozial', 'schwer', 'erreichen', 'überlegen', 'erklären', 'schwierigkeit', 'betreffen', 'gedanke', 'auseinandersetzung', 'kontakt', 'vorstellung', 'verändern', 'unmittelbar', 'bedeuten', 'schaffen', 'konflikt', 'stattfinden', 'zeigen', 'empfinden', 'feststellen', 'zusammenhang', 'gelten', 'interessant', 'position', 'bewusst', 'entscheidung', 'passieren', 'generation', 'einsetzen', 'überzeugen', 'wert', 'einfluss', 'betrachten', 'erwähnen', 'fest', 'beziehen', 'darstellen', 'menge', 'entscheiden', 'zeitpunkt']

14 ['geschäft', 'verkaufen', 'kaufen', 'laden', 'geld', 'haus', 'übernehmen', 'firma', 'kunde', 'grundstück', 'bank', 'bezahlen', 'einkaufen', 'krieg', 'konsum', 'betrieb', 'ware', 'gehören', 'privat', 'verkäuferin', 'bauen', 'verkauf', 'erbe', 'kosten', 'sohn', 'kredit', 'aufbauen', 'aufmachen', 'selbständig', 'liefern', 'schließen', 'preis', 'eigentum', 'anbieten', 'teuer', 'billig', 'land', 'nennen', 'kaufhaus', 'staatlich', 'schwiegervater', 'enteignen', 'wert', 'besitzer', 'aufgeben', 'gold', 'erben', 'handeln', 'angestellter', 'bedienen', 'bestellen', 'markt', 'pleite', 'handel', 'gründen', 'verdienen', 'eintragen', 'auto', 'hälfte', 'vertrag', 'händler', 'sorgen', 'besitz', 'kundschaft', 'führen', 'staat', 'büro', 'grund', 'großhandel', 'anwalt', 'drittel', 'zahlen', 'testament', 'söhne', 'wohnung', 'zugemacht', 'apotheke', 'schaufenster', 'verkäufer', 'rechtsanwalt', 'steuer', 'inhaber', 'schuld', 'chef', 'anteil', 'verschenken', 'kaufmann', 'sparkasse', 'herr', 'beschlagnahmen', 'lage', 'geschäftsführer', 'überlegen', 'lokal', 'betreiben', 'kümmern', 'geschäftsmann', 'existieren', 'selbstständig', 'auszahlen']

15 ['offizier', 'soldat', 'armee', 'waffe', 'militär', 'einheit', 'uniform', 'schießen', 'militärisch', 'general', 'dienst', 'bundeswehr', 'major', 'leutnant', 'deutsch', 'befehl', 'hauptmann', 'truppe', 'kompanie', 'kaserne', 'dienen', 'front', 'oberleutnant', 'bataillon', 'kommandeur', 'tag', 'marschieren', 'panzer', 'feldwebel', 'gewehr', 'ausbildung', 'kommandant', 'unteroffizier', 'melden', 'oberst', 'stellung', 'division', 'spät', 'rang', 'wehrmacht', 'schicken', 'kämpfen', 'einziehen', 'normal', 'zivil', 'auftrag', 'polizei', 'ordnung', 'pistole', 'ausbilden', 'kommando', 'regiment', 'antreten', 'posten', 'reserve', 'ehemalig', 'übung', 'volksarmee', 'wehrdienst', 'wache', 'führer', 'brigade', 'richtung', 'kilometer', 'dienstgrad', 'national', 'stab', 'bewaffnet', 'vorgesetzter', 'erschießen', 'nennen', 'einsetzen', 'fahrzeug', 'einsatz', 'verteidigen', 'kamerad', 'schuss', 'kommissar', 'einberufen', 'freiwillig', 'hand', 'marine', 'versetzen', 'zug', 'karabiner', 'herr', 'munition', 'gruppe', 'fahrer', 'übungen', 'batterie', 'oberstleutnant', 'kennen', 'führen', 'haufen', 'kommandantur', 'treten', 'marsch', 'luftwaffe', 'zugführer']
