0 ['bdm', 'jugend', 'hitlerjugend', 'uniform', 'jungvolk', 'schule', 'gruppe', 'mädchen', 'deutsch', 'politisch', 'schön', 'hj', 'marschieren', 'antreten', 'arbeitsdienst', 'nennen', 'führerin', 'lachen', 'führer', 'fahne', 'eltern', 'mitmachen', 'erinnern', 'dienst', 'jugendgruppe', 'lager', 'mussen', 'gerne', 'lieder', 'essen', 'hitler', 'katholisch', 'bund', 'fahrt', 'fallen', 'führerinn', 'sport', 'fähnleinführer', 'jugendbewegung', 'jugendliche', 'fdj', 'wandern', 'kameradschaft', 'wanderung', 'jugendlich', 'pimpfe', 'vater', 'begeistert', 'nationalsozialismus', 'kinderlandverschickung']
33 ['fernuniversität', 'herr', 'hagen', 'universität', 'lachen', 'fernstudium', 'fernuni', 'professor', 'atmen', 'hochschule', 'klacken', 'ministerium', 'rektor', 'rau', 'student', 'kollege', 'betonen', 'projekt', 'peters', 'bibliothek', 'gründungsausschuss', 'fachhochschule', 'bartz', 'fachbereich', 'weiterbildung', 'kanzler', 'kurs', 'wissenschaftlich', 'verwaltung', 'anfang', 'studienbrief', 'zfe', 'johannes', 'university', 'spät', 'bochum', 'stelle', 'institut', 'herrn', 'senat', 'fakultät', 'studienzentren', 'aufgabe', 'berufen', 'studierend', 'idee', 'forschung', 'gebäude', 'leises', 'mitarbeiter']

34 ['bein', 'hand', 'arm', 'schlagen', 'auge', 'fallen', 'kopf', 'finger', 'wasser', 'brechen', 'rücken', 'blut', 'ring', 'weh', 'fuß', 'schwer', 'gesicht', 'werfen', 'linker', 'knochen', 'rechter', 'dick', 'tag', 'nase', 'verbrennen', 'zeigen', 'hände', 'verletzen', 'knie', 'treten', 'füße', 'arzt', 'richtig', 'ohr', 'boden', 'verlieren', 'passieren', 'nennen', 'schwarz', 'kalt', 'drücken', 'springen', 'verbinden', 'zähne', 'mund', 'treffen', 'kaputt', 'schrecklich', 'schmerz', 'merken']

35 ['deutschland', 'schicken', 'armee', 'arbeit', 'stadt', 'moskau', 'papier', 'bescheinigung', 'rubel', 'krieg', 'leningrad', 'gebiet', 'dokument', 'pass', 'spät', 'fabrik', 'stelle', 'abschließen', 'stalin', 'werk', 'transkript', 'warten', 'leiter', 'dienen', 'zweiter', 'erinnern', 'nikolai', 'rufen', 'kiew', 'kgb', 'sewastopol', 'zurückkehren', 'helfen', 'entschädigung', 'ukraine', 'rostow', 'tag', 'gebären', 'häftling', 'kennen', 'rente', 'charkow', 'komsomol', 'institut', 'sowjetisch', 'beenden', 'entlassen', 'taganrog', 'schule', 'registrieren']

36 ['mensch', 'gott', 'passieren', 'reden', 'schlimm', 'wussen', 'hören', 'richtig', 'gehören', 'meinung', 'schlecht', 'angst', 'stimmen', 'schuld', 'geschichte', 'erleben', 'versuchen', 'welt', 'ehrlich', 'wahr', 'falsch', 'behandeln', 'hart', 'böse', 'fallen', 'volk', 'erklären', 'fühlen', 'wussten', 'kämpfen', 'kennen', 'helfen', 'wahrheit', 'schlagen', 'absolut', 'menschlich', 'verlieren', 'erfahren', 'zeigen', 'ordnung', 'verhalten', 'gewiß', 'geschehen', 'nennen', 'auge', 'schwer', 'situation', 'begreifen', 'frage', 'ruhig']

37 ['chef', 'abteilung', 'büro', 'arbeit', 'herr', 'firma', 'direktor', 'stelle', 'kollege', 'arbeitsamt', 'sekretärin', 'angestellter', 'einstellen', 'verwaltung', 'betrieb', 'dienst', 'kündigen', 'beamter', 'schreibmaschine', 'tag', 'entlassen', 'gehalt', 'abteilungsleiter', 'thyssen', 'leiter', 'beworben', 'übernehmen', 'post', 'beschäftigen', 'mitarbeiter', 'personalabteilung', 'zeit', 'buchhaltung', 'kaufmännisch', 'nennen', 'kennen', 'urlaub', 'vorgesetzter', 'kollegin', 'angestellt', 'spät', 'damen', 'tätigkeit', 'zuständig', 'verschieden', 'anstellen', 'arbeitsplatz', 'technisch', 'einsetzen', 'bereich']

