0 ['mutter', 'kind', 'oma', 'vater', 'erinnern', 'eltern', 'opa', 'haus', 'kindheit', 'erinnerung', 'schwester', 'familie', 'großeltern', 'großmutter', 'zeit', 'wohnen', 'bruder', 'schule', 'spät', 'großelter', 'richtig', 'schön', 'geschwister', 'dorf', 'zuhause', 'gebären', 'krieg', 'sterben', 'garten', 'tante', 'großvater', 'onkel', 'hof', 'gewohnen', 'puppe', 'straße', 'alter', 'gerne', 'verbringen', 'erwachsen', 'tant', 'prägen', 'papa', 'schlimm', 'mama', 'spielzeug', 'zimmer', 'elf', 'freundin', 'feri']
14 ['pastor', 'krankenschwester', 'stadthagen', 'andrea', 'ulrike', 'haus', 'gemeinde', 'ella', 'vertretung', 'dick', 'göttingen', 'cuxhaven', 'dauernd', 'gemeindeschwester', '63', 'therapie', 'sophie', 'hannover', 'friedland', 'roth', 'diakonisse', 'dorst', 'cording', 'tobias', 'neumann', 'flucht', 'zwangsarbeiter', 'lippe', 'schaumburg', 'dorothea', 'bewußt', 'krankenpflege', 'gefühl', 'nennen', 'barbara', '62', 'hinterkopf', 'vati', 'perfekt', 'kurs', 'auswahl', 'kommune', 'schwesternschule', 'schwesternschaft', 'entfernen', 'ruth', '24stund', 'suche', 'mehrweg', 'zwischenzeitlich']

15 ['mathematik', 'henkel', 'mathematiker', 'mathematisch', 'röhre', 'formel', 'physiker', 'vorsemester', 'berechnen', 'unverschämtheit', 'kommando', 'architekt', 'chemie', 'beschäftigen', 'persil', 'platzieren', 'arbeitskreis', 'zuvor', 'löschpapier', 'ingenieure', 'marktwert', 'vergisst', 'bebauung', 'penzberg', 'rechnen', 'widersprüche', 'jawie', 'schmissig', 'primo', 'website', 'blamage', 'levi', 'angesicht', 'holzhammer', 'rasch', 'klett', 'boh', 'eich', 'wohlwissend', 'sechzehnjähriger', 'teilnehmergemeinschaft', 'matrix', 'holzweg', 'informatiker', 'betriebswirtschaft', '868', 'stabführer', 'chavatzelet', 'nahelegen', 'umschwenken']

16 ['schule', 'volksschule', 'mittlerer', 'mittelschule', 'besuchen', 'lehrer', 'handelsschule', 'gymnasium', 'klasse', 'realschule', 'eltern', 'reif', 'abitur', 'ausbildung', 'katholisch', 'schulgeld', 'mädchen', 'reife', 'vater', 'nennen', 'lehrerin', 'lyzeum', 'rektor', 'prüfung', 'grundschule', 'lehre', 'einjährig', 'bücher', 'städtisch', 'zeugnis', 'lernen', 'gerne', 'lehrerbildungsanstalt', 'einschulen', 'versetzen', 'mussen', 'bezahlen', 'oberschule', 'evangelisch', 'schulzeit', 'beamter', 'mädchenschule', 'üblich', 'schülerinn', 'aufwachsen', 'buer', 'rechnen', 'aufnahmeprüfung', 'quarta', 'hauptschule']

17 ['hagen', 'firma', 'siegen', 'betonen', 'weiss', 'haspe', 'lachen', 'siegerland', 'vater', 'lachend', 'herdecke', 'lohmann', 'gevelsberg', 'proll', 'generation', 'hamm', 'hagener', 'kettler', 'schwelm', 'uni', 'berliner', 'akku', 'iserlohn', 'hannover', 'siege', 'goldbergstrasse', 'eiserfeld', 'permit', 'hasper', 'schwierigkeit', 'saarbrücken', 'heisst', 'wirtschaftsprüfer', 'ostpreussen', 'fabrikant', 'wachtmeist', 'som', 'batterie', 'westfalen', 'amtsgericht', 'westfale', 'einarbeiten', 'volmarstein', 'gummersbach', 'schalksmühle', 'berg', 'tennisklub', 'bach', 'kaarst', 'rollend']

18 ['iphe', 'intavp', 'lager', 'russe', 'zone', 'intavpn', 'passieren', 'sanitäter', 'relativ', 'intmc', 'vorn', 'russisch', 'bubi', 'göttingen', 'lazarett', 'baracke', 'barack', 'sachsenhause', 'magdeburg', 'politisch', 'arzt', 'katyn', 'labor', 'goslar', 'stunde', 'helmstedt', 'osten', 'theater', '1950', 'entlassung', 'erwähnen', 'schildern', 'vorkommen', 'nikolai', 'soner', 'thimm', 'hermann', 'zonengrenze', 'sergeanten', 'ärzten', 'vermuten', 'barackenälteste', 'lachend', '42', 'besatzungszone', 'zuständig', '30000', 'maxplanckgesellschaft', 'verurteilen', 'britisch']

19 ['aussage', 'zwilling', 'dieter', 'harald', 'küster', 'chemnitz', 'zwillinge', 'leise', 'sohn', 'fallen', 'übertönen', 'fremdstimm', 'extrem', 'chemnitzer', 'warstein', 'ken', 'werkstatt', 'bandgeräusche', 'nid', 'gewerkschaft', 'strumpffabrik', 'anmerkung', 'heimarbeit', 'elf', 'sin', '38', 'aufnahme', 'krisch', 'münsing', 'saloniki', 'eineiig', 'rausche', 'tour', 'technisch', 'oschau', 'bildschön', 'club', 'telegraphenamt', 'hässlich', 'zweieiig', 'rausch', 'wurm', 'gekrischt', 'gewerkschaftssachen', 'repassiererin', 'ziehe', 'vertretung', 'arbeitsstelle', 'aufsteigen', 'roch']

20 ['deutsch', 'lernen', 'sprache', 'englisch', 'russisch', 'deutschland', 'französisch', 'schule', 'übersetzen', 'zeit', 'unterhalten', 'kennen', 'hebräisch', 'anfang', 'land', 'reden', 'richtig', 'mensch', 'perfekt', 'beibringen', 'schwer', 'schrift', 'nennen', 'jiddisch', 'hören', 'unterrichten', 'besuchen', 'wörter', 'vergessen', 'deutsche', 'spanisch', 'helfen', 'zuhause', 'bücher', 'akzent', 'dialekt', 'buchstabe', 'beherrschen', 'interessant', 'verständigen', 'dolmetscherin', 'grammatik', 'lateinisch', 'kurs', 'verschieden', 'fließend', 'dolmetsch', 'literatur', 'platt', 'ausland']

21 ['gehören', 'falsch', 'versuchen', 'stimmen', 'behandeln', 'gewiß', 'richtig', 'art', 'frage', 'hören', 'reden', 'schlecht', 'vorteil', 'absolut', 'vermuten', 'fühlen', 'verhalten', 'nennen', 'weise', 'anerkennen', 'ansprechen', 'gefühl', 'verschieden', 'korrekt', 'böse', 'merken', 'ungerecht', 'gerecht', 'gesetz', 'behaupten', 'ärgern', 'benutzen', 'form', 'passieren', 'erklären', 'meinung', 'erlauben', 'zählen', 'ansehen', 'dienst', 'heutig', 'schwierigkeit', 'vermutung', 'wagen', 'leistung', 'grob', 'verdacht', 'verständnis', 'bemerkung', 'kennen']

